journal,abbreviation
Zeitschrift für Tarifrecht,ZTR
Zeitschrift für Umweltpolitik & Umweltrecht,ZfU
Zeitschrift für Umweltrecht,ZUR
Zeitschrift für Unternehmens- und Gesellschaftsrecht,ZGR
Zeitschrift für Urheber- und Medienrecht,ZUM
Zeitschrift für Verbraucher- und Privat-Insolvenzrecht,ZVI
Zeitschrift für Vergleichende Rechtswissenschaft,ZVR
Zeitschrift für Vertriebsrecht,ZVertriebsR
Zeitschrift für Wasserrecht,ZFW
Zeitschrift für Wett- und Glücksspielrecht,ZfWG
Zeitschrift für Wettbewerbsrecht,ZWeR
Zeitschrift für Wirtschafts- und Bankrecht,WM
Zeitschrift für Wirtschafts- und Steuerstrafrecht,"wistra, Wistra"
Zeitschrift für Wirtschaftsrecht,ZIP
Zeitschrift für Wirtschaftsstrafrecht und Haftung im Unternehmen,ZWH
Zeitschrift für Wohnungseigentumsrecht,ZWE
Zeitschrift für Zivilprozeß,ZZP
Zeitschrift für Zölle und Verbrauchsteuern,ZfZ
Zeitschrift zum Innovations- und Technikrecht,InTeR
AbfallR - Zeitschrift für das Recht der Abfallwirtschaft,AbfallR
Archiv für Sozialgeschichte,AfS
Anwaltsgebühren spezial,AGS
Aktuelle juristische Praxis,AJP
Ad Legendum,AL
Österreichisches Anwaltsblatt,AnwBl
Mitteilungen der APBB,APBB-Mitt.
apf - Ausbildung-Prüfung-Fortbildung,apf
Apotheke & Recht,APR
Aus Politik und Zeitgeschichte,APuZ
Archiv für Kriminologie,ArchKrim
Austrian review of international and European law,ARIEL
Arztrecht,ArztR
ASDA-Bulletin : Schweizer Fachzeitschrift für Luft- und Weltraumrecht,ASDA-Bulletin
"Anwalt, Anwältin im Sozialrecht",ASR
Arbeit und Arbeitsrecht,AuA
Ausländer- und Asylrecht Schnelldienst,AuAS
Aufsichtsrat,Aufsichtsrat
Der Arzt und sein Recht,AusR
Betriebs-Berater / Außenwirtschaftsdienst,AWD
AWR-Bulletin : Vierteljahresschrift für Flüchtlingsfragen,AWR-Bulletin
Die Bank,Bank
Bank-Archiv,BankArch
Der Bausachverständige,Bausachverständige
Bayerischer Gemeindetag,BayGT
Bundesbaublatt,BBB
Berliner Anwaltsblatt,BerlAnwBl
Betriebliche Altersversorgung,BetrAV
Betrifft: Justiz,Betrifft Justiz
Bewertungs-Praktiker Fachinformationen zu Bewertungsfragen,BewertungsPraktiker
Bewährungshilfe,BewHi
BFH/NV Sammlung der Entscheidungen des Bundesfinanzhofs,BFH/NV
Die Berufsgenossenschaft,BG
Basler juristische Mitteilungen,BJM
Die Betriebskrankenkasse,BKK
Blätter für deutsche und internationale Politik,Blätter
Bucerius Law Journal,BLJ
"Blatt für Patentwesen, Muster- u. Zeichenwesen",BlPMZ
Blutalkohol,Blutalkohol
Zeitschrift für betriebliche Prävention und Unfallversicherung,BPUVZ
Bundesgesundheitsblatt – Gesundheitsforschung – Gesundheitsschutz,Bundesgesundheitsbl
Zeitschrift für das Notariat in Baden-Württemberg,BWNotZ
Corporate-Compliance-Zeitschrift,CCZ
Corporate Finance law,CFL
Computer Law Review International,CRi
Contracting und Recht,CuR
DAJV-Newsletter,DAJV-Newsletter
Datenschutz-Nachrichten,DANA
Deutsche Polizei,Deutsche Polizei
Deutsche Gerichtsvollzieher-Zeitung,DGVZ
Zeitschrift des Deutschen Juristinnenbundes,djbZ
Deutsche Lebensmittelrundschau,DLR
DNotI-Report,DNotI-Report
Der öffentliche Dienst,DöD
Die öffentliche Verwaltung,DÖV
Deutsch-polnische Juristen-Zeitschrift,DPJZ
Deutsche Rentenversicherung,DRV
Deutsche Steuer-Zeitung,DStZ
Deutsches Ärzteblatt,Dtsch Ärztebl
Deutsche Verwaltungspraxis,DVP
Der Wohnungseigentümer,DWE
Deutsche Wohnungswirtschaft,DWW
European company and financial law review,ECFR
European Criminal Law Review,ECLR
Entscheidungen der Finanzgerichte,EFG
European Law Reporter,ELR
Evangelischer Pressedienst Medien,epd medien
Energierecht. Zeitschrift für die gesamte Energierechtspraxis,ER
Der Erbschaft-Steuerberater,ErbStB
Der Ertrag-Steuer-Berater,EStB
Energiewirtschaftliche Tagesfragen,et
EU-Umsatz Steuer-Berater,EU-UStB
Zeitschrift für Europarecht,EuZ
Zeitschrift des Instituts für Energie- und Wettbewerbsrecht in der Kommunalen Wirtschaft e.V.,EWeRK
FinanzArchiv,FA
Der Familien-Rechtsberater,FamRB
FamRB international,FamRB international
Frankfurter Allgemeine Zeitung,FAZ
Praxis der Freiwilligen Gerichtsbarkeit,FGPrax
"Finanzierung, Leasing, Factoring",FLF
Forum Recht,FoR
Forderungs-Praktiker,Forderungs-Praktiker
Forum Kriminalprävention,Forum Kriminalpräv.
Zeitschrift für Strafvollzug u. Straffälligenhilfe,Forum Strafvollzug
Forderung & Vollstreckung,FoVo
"Familie, Partnerschaft, Recht",FPR
Forum Strafvollzug,FS
Die Gemeinde [Baden-Württemberg],Gemeinde [BW]
Die Gemeinde [Schleswig-Holstein],Gemeinde [SH]
der gemeindehaushalt,gemeindehaushalt
Geschichte und Gesellschaft,Geschichte und Gesellschaft
Gesundheitsrecht,GesR
Der Gesellschafter,GesRZ
German law journal,GLJ
GmbH-Steuerpraxis,GmbH-Steuerpraxis
Göttingen journal of international law,GoJIL
Greifswalder Halbjahresschrift für Rechtswissenschaft,GreifRecht
Das Grundeigentum,Grundeigentum
Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil,GRUR Int
Gewerblicher Rechtsschutz und Urheberrecht. Praxis im Immaterialgüter- und Wettbewerbsrecht,GRUR-Prax
Gewerblicher Rechtsschutz und Urheberrecht. Rechtsprechungs-Report,GRUR-RR
Grundstücksmarkt und Grundstückswert,GuG
Gesundheits- und Sozialpolitik,GuS
Gewerbemiete und Teileigentum,GuT
German yearbook of international law,GYIL
Das Hauseigentum,Hauseigentum
Hoechstrichterliche Finanzrechtsprechung,HFR
Herder-Korrespondenz,HK
Hamburger Zeitschrift für Schiffahrtsrecht,HmbSchRZ
Hamburger Zeitschrift für Schiffahrtsrecht - International,HmbSchRZ-Int
HöchstRichterliche Rechtsprechung im Strafrecht,HRRS
Hessische Städte- und Gemeindezeitung,HSGZ
Humanitäres Völkerrecht,HuV
Humanitäres Völkerrecht - Informationsschriften,HuV-I
Historische Zeitschrift,HZ
Immobilien- & Baurecht,IBR
Immobilien- und Baurecht,ibr
Vienna journal on international constitutional law,ICL-Journal
International review of intellectual property and competition law,IIC
International insolvency law review,IILR
Zeitschrift zum Immobilien-Steuerrecht,ImmoStR
Immobilien- und Mietrecht,imr
Info / Schleswig-Holsteinischer Richterverband,info
Zeitschrift für Insolvenzverwaltung und Sanierungsberatung,InsVZ
Zeitschrift für Innovations- und Technikrecht,InTeR
Informationsdienst Öffentliches Dienstrecht,IÖD
Ip competence,Ip competence
IP-Rechtsberater,IPRB
"InfrastrukturRecht : Energie, Verkehr, Abfall, Wasser",IR
Zeitschrift für internationale Rechnungslegung,IRZ
Internationale Steuer-Rundschau. Zeitschrift für internationales Steuerrecht,ISR
IWB - Internationales Steuer- und Wirtschaftsrecht,IWB
NWB - Internationales Steuer- und Wirtschaftsrecht,IWB
JahrbuchSchweizerische Gesellschaft für Haftpflicht und Versicherungsrecht,Jahrbuch SGHVR
Jahresheft / Internationale Juristenvereinigung Osnabrück,Jahresheft IJVO
Jahrbuch Extremismus & Demokratie,Jb Extremismus&Demokratie
Jahrbuch für direkte Demokratie,Jb. f. direkte Demokratie
Jahrbuch des Arbeitsrechts,JbArbR
Jahrbuch des Föderalismus,JbFöderalismus
Jahrbuch für Italienisches Recht,JbItalienR
Juristische Blätter,JBl
Jahrbuch für öffentliche Finanzen,JböffFin
Jahrbuch Öffentliche Sicherheit,JBÖS
Jahrbuch des Sozialrechts,JbSR
Jahrbuch des Umwelt- und Technikrechts,JbUTR
Journal of European integration history,JEIH
"Journal of intellectual property, information technology and electronic commerce law",JIPITEC
Journal of Institutional and Theoretical Economics,JITE
Jahrbuch der Juristischen Zeitgeschichte,JJZG
Juris: die Monatszeitschrift,jM
Journal der juristischen Zeitgeschichte,JoJZG
Jahrbuch des öffentlichen Rechts der Gegenwart,JöR
Das juristische Büro,"JurBüro, JB"
JurPC - Internet-Zeitschrift für Rechtsinformatik und Informationsrecht,JurPC
Juristenzeitung,JZ
Kommunikation & Recht,K&R
Mitteilungen. Rechtsanwaltskammer Köln,KammerForum
KammerMitteilungen : Informationen und offizielle Verlautbarungen der Rechtsanwaltskammer Düsseld,KammerMitteilungen
Kfz-Anwalt : die Fachzeitschrift für alle Rechtsfragen im Automobilgewerbe,Kfz-Anwalt
Kommunal-Kassenzeitschrift,KKZ
KommunalPraxis spezial,KommP spezial
KommunalPraxis Wahlen,KommP Wahlen
Der Konzern,"Konzern, DK"
Zeitschrift für kapitalmarktorientierte Rechnungslegung,KoR
Kölner Steuerdialog,Kösdi
Zeitschrift für das gesamte Kreditwesen,Kreditwesen
Der Kriminalist,Kriminalist
Kriminologisches Journal,KrimJ
Kriminalpädagogische Praxis,KrimPäd
Kritische Vierteljahresschrift für Gesetzgebung und Rechtsprechung,KritV
"Krisen-, Sanierungs- und Insolvenzberatung",KSI
Kommunale Steuer-Zeitschrift,KStZ
Kölner Schrift zum Wirtschaftsrecht,KSzW
Kunst und Recht,KUR
Der Landkreis,Landkreis
LeGes : Gesetzgebung & Evaluation; Mitteilungsblatt der Schweizerischen Gesellschaft für Gesetzgeb,LeGes
Liechtensteinische Juristenzeitung,LJZ
"LKRZ : Zeitschrift für Landes- und Kommunalrecht Hessen, Rheinland-Pfalz, Saarland",LKRZ
Landes- und Kommunalverwaltung,LKV
Lebensmittel & Recht,LMuR
Medien & Recht,M & R
"Zeitschrift für deutsches, europäisches und internationales Markenrecht",MarkenR
Der medizinische Sachverständige,MedSach
Mitteilungen des Hamburgischen Richtervereins,MHR
