journal,abbreviation,issn,doi-coverage
Jahrbuch des öffentlichen Rechts der Gegenwart,JöR,"2569-4103,0075-2517","{""2569-4103"": null, ""0075-2517"": ""2007-2023""}"
Jahrbuch des öffentlichen Rechts der Gegenwart. Neue Folge,JöR,2569-4103,
Jahrbuch des Sozialrechts,JbSR,1615-7737,
Jahrbuch des Umwelt- und Technikrechts,JbUTR,0933-6486,
Jahrbuch Extremismus & Demokratie,Jb Extremismus&Demokratie,0938-0256,
Jahrbuch für Italienisches Recht,JbItalienR,0932-772X,
Jahrbuch für öffentliche Finanzen,JböffFin,,
Jahrbuch für Ostrecht,JOR,0075-2746,
Jahrbuch für Recht und Ethik,JRE,"2628-9121,0944-4610","1993-1996, 1998-1999, 2001-2017, 2020-2022"
Jahrbuch Öffentliche Sicherheit,JBÖS,,
Jahresheft / Internationale Juristenvereinigung Osnabrück,Jahresheft IJVO,1866-3931,
Journal der juristischen Zeitgeschichte,JoJZG,1868-8810,2010-2023
"Journal für Kunstrecht, Urheberrecht und Kulturpolitik",KUR,1437-2355,2006-2023
Journal für Rechtspolitik,JRP,"1613-754X,0943-4011",2007-2023
Journal of Banking Law and Banking,JBB,0936-2800,1989-2023
Journal of European integration history,JEIH,2942-321X,
Journal of Institutional and Theoretical Economics,JITE,0932-4569,2001-2023
"Journal of Intellectual Property, Information Technology and E-Commerce Law",JIPITEC,2190-3387,
"Journal of intellectual property, information technology and electronic commerce law",JIPITEC,2190-3387,
Junge Wissenschaft im öffentlichen Recht,JuWiss,2567-2754,
Jura Studium & Examen,JSE,2195-044X,
juris – Die Monatszeitschrift,jM,2197-5345,
Juris: die Monatszeitschrift,jM,2197-5345,
JuristenZeitung,JZ," 0022-6882,1868-7067","{"" 0022-6882"": ""2006-2023"", ""1868-7067"": null}"
Juristenzeitung,JZ,"1868-7067,0022-6882","{""1868-7067"": null, ""0022-6882"": ""2006-2023""}"
Juristische Arbeitsblätter,JA,"0022-6904,0720-6356",
Juristische Ausbildung,JURA,"1612-7021,1434-8993,0170-1452","{""1612-7021"": ""2009-2023"", ""1434-8993"": null, ""0170-1452"": ""2009-2023""}"
Juristische Blätter,JBl,"1613-7639,0022-6912",2007-2023
Juristische Rundschau,JR,"0022-6920,1612-7064","1925-1942, 1947-2023"
Juristische Schulung,JuS,0022-6939,
JurPC,JurPC,0937-1125,
JurPC - Internet-Zeitschrift für Rechtsinformatik und Informationsrecht,JurPC,1615-5335,1989-2023
Kfz-Anwalt : die Fachzeitschrift für alle Rechtsfragen im Automobilgewerbe,Kfz-Anwalt,1869-0947,
Kirche und Recht,KuR,0259-0735,
Kölner Schrift zum Wirtschaftsrecht,KSzW,"2194-4199,1869-3679",2010-2017
Kölner Steuerdialog,Kösdi,0172-1720,
Kommunale Steuer-Zeitschrift,KStZ,"0450-7126,2509-2324",
Kommunaljurist,KommJur,1613-0235,
Kommunal-Kassenzeitschrift,KKZ,2190-1503,
KommunalPraxis spezial,KommP spezial,1617-3759,
KommunalPraxis Wahlen,KommP Wahlen,2190-9695,
Kommunikation & Recht,K&R,1434-6354,
Kommunikation und Recht,K&R,1434-6354,
Kriminalistik,Kriminalistik,0023-4699,
Kriminalpädagogische Praxis,KrimPäd,0721-1279,
Kriminologisches Journal,KrimJ,0341-1966,
"Krisen-, Sanierungs- und Insolvenzberatung",KSI,"1868-7784,1863-3889","{""1868-7784"": ""2005-2023"", ""1863-3889"": null}"
Kritische Justiz,KJ,"2942-3295,0023-4834","{""2942-3295"": null, ""0023-4834"": ""1968-2023""}"
Kritische Vierteljahresschrift für Gesetzgebung und Rechtsprechung,KritV,2193-7869,2003-2023
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,KritV,"0179-2830,2364-6071",
Kunst und Recht,KUR,"2363-9199,2199-5052","{""2363-9199"": null, ""2199-5052"": ""2006-2023""}"
"Kunst und Recht: Journal für Kunstrecht, Urheberrecht und Kulturpolitik",KuR,"2363-9199,2199-5052","{""2363-9199"": null, ""2199-5052"": ""2006-2023""}"
Landes- und Kommunalverwaltung,LKV,0939-0014,
"Landes- und Kommunalverwaltung für die Länder Berlin, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen",LKV,0939-0014,
Lebensmittel & Recht,LMuR,1434-2626,
Lebensmittel und Recht,LMuR,"1438-2318,1434-2626",
LeGes : Gesetzgebung & Evaluation, Mitteilungsblatt der Schweizerischen Gesellschaft für Gesetzgeb,LeGes,1420-2395
Liechtensteinische Juristenzeitung,LJZ,1029-1776,
Life & Law,L&L,1436-5995,
Lindenmaier-Möhring,LMK,1611-1095,
"LKRZ : Zeitschrift für Landes- und Kommunalrecht Hessen, Rheinland-Pfalz, Saarland",LKRZ,1864-0192,
Marburg Law Review,Marburg Law Review,1866-4415,
Markenrecht,"MarkenR, markenr","1438-2288,1436-9265","{""1438-2288"": null, ""1436-9265"": ""2016-2018""}"
Max Planck Yearbook of United Nations Law,MPYUNL,"1389-4633,1875-7413","{""1389-4633"": ""1997-2012, 2014-2014, 2016-2019"", ""1875-7413"": ""1997-2014, 2016-2023""}"
Medialex,ML,1420-3723,
Medien & Recht,M & R,0257-3822,
Medien und Recht International,MR-Int,1817-8456,
"Medien, Internet und Recht",MIR,1861-9754,
Medizin Produkte Recht,MPR,1618-9027,
Medizinprodukterecht,MPR,1618-9027,
MedizinProdukte-Recht : MPR,MPR,1618-9027,
Medizinrecht,MedR,"1433-8629,0723-8886",1998-2023
Mehrwertsteuerrecht,MwStR,2195-1179,
Mehrwertsteuersteuerrecht. Zeitschrift für das gesamte Mehrwertsteuersteuerrecht,MwStR,2195-1179,
MenschenRechtsMagazin,MRM,"2941-1149,1434-2820",
Mieter-Magazin,Mieter-Magazin,0723-3418,
Mietrecht kompakt,MK,1618-4157,
Mietrechts-Berater,MRB,"1612-040X,2366-1151",
Mietwagen Rechtswissen,MRW,1869-6031,
Mitteilungen / Vereinigung für Deutsch-Russisches Wirtschaftsrecht,VDRW-Mitteilungen,0942-9247,
Mitteilungen der APBB,APBB-Mitt.,2196-6214,
Mitteilungen der Deutschen Patentanwälte,"Mitt., MittDtPatA",0026-6884,
"Mitteilungen des Bayerischen Notarvereins, der Notarkasse und der Landesnotarkammer Bayern",MittBayNot,0941-4193,
Mitteilungen des Instituts für Deutsches und Internationales Parteienrecht und Parteienforschung,MIP,"1612-8117,2192-3833",
Mitteilungen des Instituts für Parteienrecht und Parteienforschung,MIP,"1612-8117,2192-3833",
Mitteilungen. Rechtsanwaltskammer Köln,KammerForum,1610-8140,
Monatsschrift für Deutsches Recht,MDR,0340-1812,2005-2023
Monatsschrift für deutsches Recht,MDR,"2194-4202,0340-1812",2005-2023
Monatsschrift für Kriminologie und Strafrechtsreform,"MschrKrim, MKS","0026-9301,2366-1968","1904-1914, 1921-1944, 1963-2023"
MultiMedia und Recht,MMR,1434-596X,
Multimedia und Recht,MMR,1434-596X,
myops,myops,1865-2301,
myops. Berichte aus der Welt des Rechts,myops,1865-2301,
Nachrichtendienst des Deutschen Vereins für öffentliche und private Fürsorge,NDV,1430-5720,
Natur und Recht,NuR,"0172-1631,1439-0515",2004-2023
Netzwirtschaften & Recht,N&R,1612-9245,
Netzwirtschaften und Recht,N&R,1612-9245,
"Neue Gesellschaft, Frankfurter Hefte",NG/FH,0177-6738,
Neue Juristische Online Zeitschrift,NJOZ,2698-8887,
Neue juristische Online-Zeitschrift,NJOZ,2698-8887,
