"journal_title","item_cnt"
Journal of Risk & Insurance,1
Journal of Russian Law,1
Journal of Social Policy,1
Journal of Technology in Human Services,1
Journal of the American Statistical Association,2
Journal of the history of philosophy,1
Journal of the Royal Society of Medicine,1
Journal of Verbal Learning and Verbal Behavior,1
Journal of Women Politics & Policy,1
Journal of World Trade,2
Judgment and Decision Making,1
Juridical review,1
Justitiële verkenningen,1
Juventa eBooks,1
Keip Verlag eBooks,1
"Keip , Yushodo eBooks",1
Kerntechnik,1
Kiepenheuer & Witsch eBooks,1
King s Law Journal,1
Klostermann eBooks,2
Kluwer Academic Publishers eBooks,1
Kluwer eBooks,1
Kluwer Law International eBooks,1
Kohlhammer eBooks,1
Kölner Zeitschrift für Soziologie und Sozialpsychologie. Sonderheft,1
Koreanische Zeitschrift für Germanistik,1
Kredit und Kapital,1
Kriminalistik Verlag eBooks,1
Kursbuch,1
KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie,1
Labour / Le Travail,1
Ladenburger Diskurs,1
Land Economics,1
Laterza eBooks,1
Law and Contemporary Problems,3
Law and Human Behavior,1
Law Culture and the Humanities,2
Law & Social Inquiry,1
Law & Society Review,2
Lecture notes in computer science,1
Legal Ethics,1
Legal Studies,1
Legisprudence,1
Leiden Journal of International Law,8
Leske + Budrich eBooks,2
Leske eBooks,1
Leske und Budrich eBooks,1
Leviathan,2
Lexikon des gesamten Buchwesens Online,1
LexisNexis Butterworths eBooks,2
Librairie générale de droit et de jurisprudence eBooks,1
Ligeia,1
Local Government Studies,1
"Logic, argumentation & reasoning",1
Louisiana law review,1
L. Röhrscheid eBooks,1
Luchterhand eBooks,5
Ludwig-Maximilians-Universität München eBooks,2
Ludwig Röhrscheid eBooks,1
Maastricht Journal of European and Comparative Law,1
Man,1
Management Accounting Research,1
management revue,1
Manchester University Press eBooks,1
Manuscripta,1
Martinus Nijhoff Publishers eBooks,2
Max Planck Encyclopedia of Public International Law,4
Max Planck Yearbook of United Nations Law,3
Measurement and Control,1
Médecine & Droit,1
Medicine Health Care and Philosophy,1
