"institution_id","raw_author_name","author_id","cleaned_author_name","cleaned_institution_name","min_pubyear","max_pubyear","publ_cnt","example_id"
,Gerrit Forst,A5003829168,Gerrit Forst,,2013,2013,1,W1986215618
,Burkhard Hess,A5003851944,Burkhard Heß,,2005,2015,8,W4231462728
,Dirk Müllmann,A5003852531,Dirk Müllmann,,2024,2024,1,W4394925247
,Ulrich Segna,A5003860848,Ulrich Segna,,2014,2018,2,W2916826634
,Reinhard Bork,A5003901325,Reinhard Bork,,2009,2009,1,W1981119348
,Egon Lorenz,A5003907802,Egon Lorenz,,2004,2004,1,W11319183
,Christian Ernst,A5003919873,Christian Ernst,,2017,2017,1,W2771845956
,Nikolaus Marsch,A5003963076,Nikolaus Marsch,,2021,2023,2,W4384787754
,Björn Schiffbauer,A5003969656,Björn Schiffbauer,,2015,2023,3,W4386394134
,Steffen Augsberg,A5004052543,Steffen Augsberg,,2010,2024,4,W4396556667
,Wolfram Henckel,A5004097549,Wolfram Henckel,,2005,2005,1,W972065628
,Carl-Christian Dressel,A5004107370,Carl-Christian Dressel,,2017,2017,1,W2632717434
,Christian Fahl,A5004162412,Christian Fahl,,2009,2022,5,W4255471121
,Johannes Wertenbruch,A5004174846,Johannes Wertenbruch,,2006,2023,3,W4384786949
,Klaus Tiedtke,A5004209483,Klaus Tiedtke,,2006,2008,3,W2916467083
,Ssoufian Bouchouaf,A5004222093,Ssoufian Bouchouaf,,2007,2007,2,W4241673371
,Winfried Kluth,A5004233023,Winfried Kluth,,2010,2018,2,W4238776192
,Katharina von Schlieffen,A5004302513,Katharina von Schlieffen,,2020,2020,1,W3004795878
,Herbert Zech,A5004308330,Herbert Zech,,2008,2016,4,W4243631495
,Peter Schlechtriem,A5004311684,Peter Schlechtriem,,2005,2006,2,W2039387815
,Max Gärtner,A5004344201,Max Gärtner,,2019,2019,1,W2946432337
,Gregor Thüsing,A5004383118,Gregor Thüsing,,2006,2006,1,W4244035750
,Nils Schaks,A5004455594,Nils Schaks,,2017,2023,3,W4389443163
,Lola Petersen,A5004457751,Lola Petersen,,2017,2017,1,W4251285669
,Jonathan Friedrichs,A5004463843,Jonathan Friedrichs,,2022,2022,1,W4312636591
,Maximilian Becker,A5004575733,Maximilian Becker,,2009,2017,3,W2764091660
,Klaus Tonner,A5004658926,Klaus Tonner,,2005,2016,5,W72413388
,Jermaine Washington,A5004666233,Jermaine Washington,,2019,2019,1,W2990938470
,Joachim von Bargen,A5004666986,Joachim von Bargen,,2013,2013,1,W1983147783
,Knut Werner Lange,A5004680054,Knut Werner Lange,,2009,2018,4,W4239739058
I223822909,Leonhard Hübner,A5004691395,Leonhard Hübner,Heidelberg University,2017,2017,1,W2608521501
I4210097545,Leonhard Hübner,A5004691395,Leonhard Hübner,Infrafrontier,2017,2017,1,W2608521501
,Leonhard Hübner,A5004691395,Leonhard Hübner,,2017,2017,1,W2608521501
,Gerhard Hohloch,A5004756961,Gerhard Hohloch,,2008,2008,1,W1996627142
,David Quinke,A5004763001,David Quinke,,2005,2005,1,W18221006
,Diederich Eckardt,A5004934863,Diederich Eckardt,,2009,2009,1,W2008590627
,Gerson Trüg,A5004939855,Gerson Trüg,,2007,2008,2,W2024350944
,Paul Kirchhof,A5004957323,Paul Kirchhof,,2004,2017,2,W2716089199
,Jan D. Lüttringhaus,A5004977195,Jan D. Lüttringhaus,,2018,2018,1,W2904241515
,Joachim Wieland,A5004988686,Joachim Wieland,,2006,2012,2,W3122790503
,Hans-Detlef Horn,A5004996129,Hans-Detlef Horn,,2006,2007,2,W4239178463
,"Hans-Detlef Horn,",A5004996129,Hans-Detlef Horn,,2007,2007,1,W4241790702
,Anna-Julia Egger,A5005003613,Anna-Julia Egger,,2023,2023,1,W4366432124
,Matthias Dankemeyer,A5005098674,Matthias Dankemeyer,,2015,2015,1,W2315363270
,Ralph Christensen,A5005128731,Ralph Christensen,,2007,2007,1,W2081751077
,Gottfried Schiemann,A5005195141,Gottfried Schiemann,,2004,2021,9,W4255815852
,Jürgen Rath,A5005201363,Jürgen Rath,,2006,2006,1,W4247354988
,Peter Ulmer,A5005221879,Peter Ulmer,,2004,2004,1,W186727371
,Eike Kassebaum,A5005287326,Eike Kassebaum,,2015,2015,1,W2397845421
,Ingo Rau,A5005353443,Ingo Rau,,2006,2006,2,W1979618515
,Jan-Marcel Drossel,A5005378871,Jan-Marcel Drossel,,2014,2018,2,W4254558333
,Josef Franz Lindner,A5005449564,Josef Franz Lindner,,2006,2022,10,W4312697979
,Matthias Siegmann,A5005482678,Matthias Siegmann,,2017,2017,1,W2700127042
,Martin Häublein,A5005507556,Martin Häublein,,2016,2023,5,W4318612575
I149899117,Christoph Engel,A5005665024,Christoph Engel,Max Planck Society,1983,2006,2,W1995476709
I4210136328,Christoph Engel,A5005665024,Christoph Engel,Max Planck Institute for Research on Collective Goods,1983,2006,2,W1995476709
,Christoph Engel,A5005665024,Christoph Engel,,2022,2022,1,W4285142250
,Jens Adolphsen,A5005687689,Jens Adolphsen,,2014,2024,3,W4391851995
,Gerhard Haney,A5005692318,Gerhard Haney,,2007,2007,1,W2016723380
,Eva Kocher,A5005853497,Eva Kocher,,2005,2018,2,W2890619853
,Herbert Wiedemann,A5005958141,Herbert Wiedemann,,2013,2013,1,W1976882218
,Sebastian Leuschner,A5006067702,Sebastian Leuschner,,2015,2015,1,W2917538628
,Ulrich Palm,A5006080694,Ulrich Palm,,2012,2012,1,W2040235232
,Maren Vogel,A5006083379,Maren Vogel,,2023,2023,1,W4352993322
,Ulrike Picker,A5006167336,Ulrike Picker,,2018,2018,1,W4247511287
,Ingolf Pernice,A5006183974,Ingolf Pernice,,2015,2015,1,W2917215338
,Clara Günzl,A5006213751,Clara Günzl,,2019,2022,2,W4312762716
,Nadja Josefin Rünzel,A5006329540,Nadja Josefin Rünzel,,2018,2018,1,W4250961147
,Klaus Tiedtke,A5006339344,Klaus Tiedtke,,2004,2004,1,W81455479
,Christine Morgenstern,A5006339907,Christine Morgenstern,,2017,2017,1,W2771932499
,Sophie Ludewigs,A5006382871,Sophie Ludewigs,,2022,2022,1,W4291779344
,Elke Gurlit,A5006421496,Elke Gurlit,,2012,2012,1,W1996904280
,Christoph Becker,A5006546176,Christoph Becker,,2015,2015,1,W2762566505
,Carina Dorneck,A5006583766,Carina Dorneck,,2016,2017,2,W2765328601
,Thomas Hillenkamp,A5006680389,Thomas Hillenkamp,,2004,2020,4,W334313061
,katharina Apel,A5006718711,K. Apel,,2005,2005,1,W61964475
,Paul Tobias Schrader,A5006744701,Paul Tobias Schrader,,2011,2011,1,W2006590044
,Robert Bommel,A5006767288,Robert Bommel,,2018,2018,1,W2801487748
,Stanley L. Paulson,A5006789867,Stanley L. Paulson,,2006,2018,8,W2902154660
,Claus Ahrens,A5006883513,Claus Ahrens,,2006,2009,2,W4248833646
,Hans-Martin Müller-Laube,A5007092959,Hans-Martin Müller-Laube,,2007,2007,1,W1978845518
,Edda E. Pauli,A5007097225,Edda E. Pauli,,2017,2017,1,W2598102340
,Martin Heckel,A5007118441,Martin Heckel,,2017,2021,2,W3158187227
,Lennart Fleckenstein,A5007120562,Lennart Fleckenstein,,2020,2020,1,W3096006929
,Ina Plettenberg,A5007142522,Ina Plettenberg,,2016,2016,1,W4242265460
,Florian Bode,A5007185637,Florian Bode,,2021,2021,1,W3156704818
,Tilman Bezzenberger,A5007244653,Tilman Bezzenberger,,2005,2007,3,W71301714
,Georg Lienbacher,A5007282698,Georg Lienbacher,,2009,2009,1,W2326603629
,Wolfgang Wohlers,A5007301226,Wolfgang Wohlers,,2004,2014,2,W229240183
,Kevin Franzke,A5007304528,Kevin Franzke,,2022,2022,1,W4312530109
,Uwe Volkmann,A5007331061,Uwe Volkmann,,2005,2020,4,W4210394381
,Niklas Bunnenberg,A5007369138,Niklas Bunnenberg,,2020,2020,1,W3106958605
,Tobias André,A5007381284,Tobias André,,2011,2011,1,W1972080352
,Hans Kudlich,A5007451271,Hans Kudlich,,2004,2009,2,W2249592081
,Adrian Schmidt Recla,A5007491723,Adrian Schmidt - Recla,,2008,2008,1,W1521825983
,Adrian Schmidt-Recla,A5007491723,Adrian Schmidt - Recla,,2010,2010,1,W204612869
,Marie Fritzer,A5007500434,Marie Fritzer,,2016,2016,1,W2336120901
,Michael Lysander Fremuth,A5007566774,Michael Lysander Fremuth,,2018,2018,1,W2782942014
,Rüdiger Krause,A5007668892,Rüdiger Krause,,2017,2017,1,W4250401176
,Tilman Rauhut,A5007701225,Tilman Rauhut,,2007,2007,1,W2021458404
,Stefan Treichel,A5007724263,Stefan Treichel,,2020,2020,1,W4237422360
,Katrin Gierhake,A5007773234,Katrin Gierhake,,2013,2013,1,W2007612848
,Wolf Paul,A5007774439,Paul R. Wolf,,2010,2010,1,W1978505076
,F. Sturm,A5007833711,Fred Gillette Sturm,,2009,2009,1,W3012662435
,Jörg Manfred Mössner,A5007843215,Jörg Manfred Mössner,,2008,2008,1,W1970059070
,Marten Breuer,A5007891397,Marten Breuer,,2003,2013,2,W779913593
,Christoph Schnabel,A5007893234,C. Schnabel,,2009,2009,1,W2035761815
I149899117,Patrick C. Leyens,A5007895928,Patrick C. Leyens,Max Planck Society,2007,2007,1,W2075240242
I4210112296,Patrick C. Leyens,A5007895928,Patrick C. Leyens,Max Planck Institute for Comparative and International Private Law,2007,2007,1,W2075240242
,Patrick C. Leyens,A5007895928,Patrick C. Leyens,,2011,2011,2,W4231972604
,Hermann Hill,A5007898498,Hermann Hill,,1981,1981,1,W3214624531
,Timo Fest,A5008055985,Timo Fest,,2013,2014,2,W4252870342
,Jörg H. Sommer,A5008069169,Jörg H. Sommer,,2007,2007,1,W2091159260
,Harro Otto,A5008073083,Harro Otto,,1993,2005,4,W33003024
,Sven Siebrecht,A5008198443,Sven Siebrecht,,2023,2023,1,W4366432763
,Daniel Sailer,A5008228343,Daniel Sailer,,2011,2011,1,W1972080352
,Gerald Spindler,A5008267405,Gerald Spindler,,2005,2013,3,W61964475
,Martin Zwickel,A5008286660,Martin Zwickel,,2019,2019,1,W2954727635
I149899117,Christoph Krenn,A5008316356,Christoph Krenn,Max Planck Society,2014,2014,1,W2051413530
I4210141359,Christoph Krenn,A5008316356,Christoph Krenn,Max Planck Institute for Comparative Public Law and International Law,2014,2014,1,W2051413530
,Andreas Fuchs,A5008359187,Andreas Fuchs,,2014,2014,1,W2011237404
,Christian Becker,A5008388312,Christian Becker,,2016,2016,1,W2515677457
,Peter Friedrich Bultmann,A5008449627,Peter Friedrich Bultmann,,2004,2004,2,W2263376175
,Ulrich Schroth,A5008458387,Ulrich Schroth,,2004,2004,1,W15467794
,Thomas Oppermann,A5008468396,Thomas Oppermann,,2005,2013,6,W4231680664
,Jan Schaefer,A5008637838,Jan Schaefer,,2008,2008,2,W2004081768
,Arnd Uhle,A5008666992,Arnd Uhle,,2006,2020,7,W3048520035
,Thomas Barnert,A5008777087,Thomas Barnert,,2004,2004,1,W2292283682
,Thomas Grosse-Wilde,A5008801807,Thomas Grosse-Wilde,,2019,2019,1,W2936225651
,Elena Barnert,A5008804736,Elena Barnert,,2012,2012,1,W2024204964
,Mark Van Hoecke,A5008872068,Mark Van Hoecke,,1990,1990,1,W2619298297
,Bernd Heinrich,A5008922508,Bernd Heinrich,,2010,2016,2,W4244245009
,Karsten Altenhain,A5008930465,Karsten Altenhain,,2010,2020,3,W4248728708
,Eibe Riedel,A5008981526,Eibe Riedel,,2006,2006,1,W1989550182
,Dietmar Willoweit,A5009039552,Dietmar Willoweit,,2010,2016,3,W2401218913
,Peter Udsching,A5009047305,Peter Udsching,,2013,2018,2,W4237163779
,Stefan Leible,A5009092460,Stefan Leíble,,2006,2010,2,W646443825
,Hans-Joachim Cremer,A5009244734,Hans-Joachim Cremer,,2007,2007,1,W2021505203
,Patrick Ostendorf,A5009245388,Patrick Ostendorf,,2023,2024,3,W4393954514
,Simón Maturana,A5009251148,Simón Maturana,,2023,2023,1,W4386716927
,Karl-Jürgen Bieback,A5009307339,Karl‐Jürgen Bieback,,2012,2012,1,W4256341414
,Franz Xaver von Weber,A5009337899,Franz Xaver von Weber,,2005,2005,1,W24332134
,Johannes Köndgen,A5009423147,Johannes Köndgen,,2010,2022,3,W4312249230
,Sebastian Dworschak,A5009494489,Sebastian Dworschak,,2012,2012,1,W2061540891
,Bernd Hüpers,A5009510680,Bernd Hüpers,,2004,2004,1,W2248175928
,Juliana Mörsdorf-Schulte,A5009525794,Juliana Mörsdorf-Schulte,,2005,2005,1,W162117155
,Bernd-Dieter Meier,A5009528491,Bernd-Dieter Meier,,2006,2015,5,W4243729145
,Thomas Riehm,A5009674412,Thomas Riehm,,2006,2016,5,W4254536997
,Ariane Berger,A5009763889,Ariane Berger,,2014,2014,1,W4232871945
,Paula Rhein-Fischer,A5009765673,Paula Rhein-Fischer,,2022,2022,1,W4297820547
,Konrad Duden,A5009795454,Konrad Duden,,1954,1954,1,W3041056573
,Guy Beaucamp,A5009863161,Guy Beaucamp,,2012,2016,2,W2537436333
,Hans Jörg Sandkühler,A5009914996,Hans Jörg Sandkühler,,2016,2016,1,W2336113258
,Florian Möslein,A5010006112,Florian Möslein,,2010,2022,5,W4312265888
,Jan Singbartl,A5010026917,Jan Singbartl,,2011,2011,1,W2006590044
,Hinnerk Wißmann,A5010083639,Hinnerk Wißmann,,2020,2020,1,W4237554094
,Lars Klöhn,A5010085643,Lars Klöhn,,2010,2010,1,W4245961172
,Gunda Dreyer,A5010102533,Gunda Dreyer,,2007,2007,1,W2054988088
,Jens Koch,A5010126138,Jens Koch,,2006,2020,2,W4235817368
,Rolf Gröschner,A5010139894,Rolf Gröschner,,2009,2018,6,W2892159047
,Hans Meyer,A5010237266,Hans Meyer,,2011,2012,3,W4250525789
,Marc Reiß,A5010445443,Marc Reiß,,2011,2011,1,W1976838869
,Lars Berster,A5010516400,Lars Berster,,2016,2016,1,W4239894457
,Johannes Klamet,A5010557521,Johannes Klamet,,2019,2019,1,W2955711332
,Hans-Joachim Musielak,A5010611097,Hans-Joachim Musielak,,2014,2014,1,W2063720790
,Andreas Kulick,A5010646193,Andreas Kulick,,2016,2020,2,W3010035844
,Hannah Stoffer,A5010699128,Hannah Stoffer,,2013,2013,1,W2280655625
,Elena Geck,A5010765908,Elena Geck,,2012,2012,1,W2042307132
,Frank Saliger,A5010771864,Frank Saliger,,2004,2022,6,W4294224183
