"author_id","author_name","institution_id","inst_name","num_articles","min_pubyear","max_pubyear","journals"
A5034954059,Martin Jarrett,I4210121101,München Klinik,9,2021,2023,"{ZaoRV,ZaoRV,ZaoRV,ZaoRV,ZaoRV,ZaoRV,ZaoRV,ZaoRV,ZaoRV}"
A5034954059,Martin Jarrett,I4210141359,Max Planck Institute for Comparative Public Law and International Law,2,2021,2023,"{ZaoRV,ZaoRV,ZaoRV}"
A5034984865,Ulrich Stascheit,I4210095813,Max Planck Institute for Legal History and Legal Theory,1,1971,1971,{KJ}
A5034984865,Ulrich Stascheit,I4210134591,Telefonica Research and Development,1,1971,1971,{KJ}
A5034984865,Ulrich Stascheit,I4210164098,Hannover Re (Germany),2,1973,1973,"{KJ,KJ}"
A5035036416,Fred G. Bär,I39343248,Humboldt-Universität zu Berlin,1,1996,1996,"{KJ,KJ}"
A5035051179,Inge Kroppenberg,I285663978,Weatherford College,1,2006,2006,{ZRG}
A5035079173,Nina Wunderlich,I1320481043,European Union,1,2019,2019,{EuR}
A5035079173,Nina Wunderlich,I4210136623,Federal Ministry for Economic Affairs and Climate Action,1,2019,2019,{EuR}
A5035108073,Markus Johannes Huber,I186354981,University of Passau,1,2014,2014,{JURA}
A5035138469,Alexander Heger,I114090438,Goethe University Frankfurt,1,2019,2019,{KritV}
A5035162080,Stefan Seiterle,I254029264,European University Viadrina,2,2011,2016,"{JURA,JURA}"
A5035171879,Caroline S. Rupp,I149899117,Max Planck Society,1,2014,2014,{AcP}
A5035171879,Caroline S. Rupp,I4210112296,Max Planck Institute for Comparative and International Private Law,1,2014,2014,{AcP}
A5035186960,Christoph Görisch,I114090438,Goethe University Frankfurt,1,2012,2012,{JURA}
A5035186960,Christoph Görisch,I180437899,University of Bremen,1,2013,2013,{JURA}
A5035198117,Karl Rothenbücher,I4210141995,German Central Institute for Social Issues,1,1912,1912,{ZRG}
A5035222206,Annika Schwenk,I926574661,Leipzig University,1,2011,2011,{JURA}
A5035231803,Heiko Sauer,I2802442800,Deutsches Forschungsnetz,1,2021,2021,{JURA}
A5035239026,Sven Henseler,I164387090,University of Applied Sciences Mainz,1,2009,2009,{JURA}
A5035289633,Christoph Schoppe,I149899117,Max Planck Society,1,2020,2020,{RabelsZ}
A5035289633,Christoph Schoppe,I4210112296,Max Planck Institute for Comparative and International Private Law,1,2020,2020,{RabelsZ}
A5035342861,Johannes Heyers,I135140700,University of Bonn,10,2010,2014,"{JURA,JURA,JR,JURA,JURA,JURA,JURA,JR,JR,JURA}"
A5035342861,Johannes Heyers,I75951250,Freie Universität Berlin,2,2016,2016,"{JURA,JURA}"
A5035418170,Johannes Ipsen,I159176309,Universität Hamburg,1,2023,2023,{JURA}
A5035441746,Jürgen Habermas,I114090438,Goethe University Frankfurt,2,1987,1989,"{KJ,KJ}"
A5035441746,Jürgen Habermas,I114112103,Leibniz University Hannover,1,1987,1987,{KJ}
A5035441746,Jürgen Habermas,I129877168,Carl von Ossietzky Universität Oldenburg,1,1989,1989,{KJ}
A5035441746,Jürgen Habermas,I145686274,Industrial Union of Metalworkers,1,2006,2006,{KJ}
A5035441746,Jürgen Habermas,I180437899,University of Bremen,2,1987,1989,"{KJ,KJ}"
A5035441746,Jürgen Habermas,I4210095813,Max Planck Institute for Legal History and Legal Theory,1,1989,1989,{KJ}
A5035441746,Jürgen Habermas,I4210121923,"Niedersächsisches Landesamt für Soziales, Jugend und Familie",1,1987,1987,{KJ}
A5035441746,Jürgen Habermas,I4210156185,Digital Heritage Netherlands,1,2006,2006,{KJ}
A5035441746,Jürgen Habermas,I44260953,Heinrich Heine University Düsseldorf,1,1987,1987,{KJ}
A5035460007,Karina Sievert,I4210097152,Institute for Labour Law and Industrial Relations in the European Union,1,2016,2016,{JURA}
A5035460007,Karina Sievert,I89864525,Universität Trier,1,2016,2016,{JURA}
A5035471816,Weimar Hermann,I4210109586,Moscow Institute of Thermal Technology,1,1897,1897,{ZRG}
A5035471816,Weimar Hermann,I4210147761,Bundesdruckerei (Germany),1,1932,1932,{ZRG}
A5035482342,Hans Fehr,I172675005,Nanyang Technological University,1,1909,1909,{ZRG}
A5035484751,Dirk Looschelders,I44260953,Heinrich Heine University Düsseldorf,1,2023,2023,{JR}
A5035484751,Dirk Looschelders,I75356249,Hochschule Düsseldorf University of Applied Sciences,3,2012,2021,"{JR,JR,JR}"
A5035484802,Gerhard Oestreich,I2801841909,Portuguese Army,1,1976,1976,{ZRG}
A5035484802,Gerhard Oestreich,I4210107151,Archdiocese of Cologne,1,1976,1976,{ZRG}
A5035490618,Robin Epple,I189712700,University of Konstanz,1,2018,2018,{JR}
A5035505769,Maria João Rosa,I174183983,Maria Curie-Skłodowska University,1,1992,1992,{ZRG}
A5035505769,Maria João Rosa,I2802442800,Deutsches Forschungsnetz,1,1992,1992,{ZRG}
A5035567872,Christina Paffenholz,I44260953,Heinrich Heine University Düsseldorf,1,2015,2015,{JR}
A5035574399,Christoph Luther,I114090438,Goethe University Frankfurt,1,2013,2013,{JURA}
A5035574399,Christoph Luther,I114112103,Leibniz University Hannover,1,2015,2015,{JURA}
A5035574399,Christoph Luther,I176453806,University of Potsdam,3,2013,2016,"{JURA,JURA,JURA}"
A5035625901,Thomas Spitzlei,I89864525,Universität Trier,2,2019,2020,"{JURA,JURA}"
A5035628767,Gerhard Köhler,I2802742261,Herzog College,1,1992,1992,{ZRG}
A5035645003,Franz C. Mayer,I1329727292,Deutscher Bundestag,1,2020,2020,"{KritV,KritV}"
A5035645003,Franz C. Mayer,I153515283,European Central Bank,1,2014,2014,{EuR}
A5035645003,Franz C. Mayer,I20121455,Bielefeld University,3,2011,2020,"{JURA,EuR,KritV}"
A5035645003,Franz C. Mayer,I4210135764,Zeus Consulting (Greece),1,2014,2014,{EuR}
A5035683728,Jakob Olbing,I149899117,Max Planck Society,1,2020,2020,{RabelsZ}
A5035683728,Jakob Olbing,I4210112296,Max Planck Institute for Comparative and International Private Law,1,2020,2020,{RabelsZ}
A5035701129,Eckard Meister,I1301041018,Rakuten (Japan),1,1915,1915,{ZRG}
A5035701129,Eckard Meister,I22433950,Altera (United States),1,1915,1915,{ZRG}
A5035701129,Eckard Meister,I4210095630,Fonds Gesundes Österreich,1,1915,1915,{ZRG}
A5035715153,Steffen M. Jauß,I114090438,Goethe University Frankfurt,6,2016,2022,"{JURA,JURA,JURA,JURA,KritV,ZRG}"
A5035728984,Mark Steinsiek,I114112103,Leibniz University Hannover,1,2012,2012,{ZStW}
A5035750271,Carl-Heinz Witt,I20431382,University of Erfurt,3,2013,2023,"{ZGR,ZGR,ZGR}"
A5035768135,Christoph Knill,I4210135397,Zentrum für Foren in der Grafischen Datenverarbeitung,1,2009,2009,{Verw}
