"abk","pubyear","item_id","item_id_cited","citing_pubyear","ref_pubyear","ref_is_also_in_goldstandard","ref_is_also_german_law"
AcP,1993,W2915452568,,,,,
AcP,1993,W2913248071,,,,,
AcP,1993,W2916409701,,,,,
AcP,1993,W2911315468,,,,,
AcP,1993,W146457716,,,,,
AcP,1993,W2916614796,,,,,
AcP,1993,W181224499,,,,,
AcP,1993,W2916821561,,,,,
AcP,1993,W2916107087,,,,,
AcP,1993,W2918698007,,,,,
AcP,1993,W155832339,,,,,
AcP,1993,W2917831883,,,,,
AcP,1993,W2917978794,,,,,
AcP,1993,W2918147567,,,,,
AcP,1993,W2919549383,,,,,
AcP,1993,W2920793500,,,,,
AcP,1993,W2939410628,,,,,
AcP,1994,W2917393569,,,,,
AcP,1994,W2919898884,,,,,
AcP,1994,W2919682959,,,,,
AcP,1994,W49224355,,,,,
AcP,1994,W2922511858,,,,,
AcP,1994,W2920744511,,,,,
AcP,1994,W2920364401,,,,,
AcP,1994,W2920292656,,,,,
AcP,1994,W2944523507,,,,,
AcP,1994,W2942029253,,,,,
AcP,1994,W54000104,,,,,
AcP,1994,W102006025,,,,,
AcP,1994,W76981529,,,,,
AcP,1994,W24615762,,,,,
AcP,1994,W2914688852,,,,,
AcP,1994,W176419758,,,,,
AcP,1994,W2915833865,,,,,
AcP,1994,W2915416808,,,,,
AcP,1994,W2915919263,,,,,
AcP,1994,W191689975,,,,,
AcP,1994,W2916049764,,,,,
AcP,1994,W2916074382,,,,,
AcP,1994,W2915637583,,,,,
AcP,1994,W2912265609,,,,,
AcP,1994,W2916049226,,,,,
AcP,1994,W177401467,,,,,
AcP,1994,W2911633146,,,,,
AcP,1994,W188744284,,,,,
AcP,1995,W1488706767,,,,,
AcP,1995,W966928671,,,,,
AcP,1995,W200782145,,,,,
AcP,1995,W1561222388,,,,,
AcP,1995,W52642393,,,,,
AcP,1995,W1536341561,,,,,
AcP,1995,W106710595,,,,,
AcP,1995,W1606966978,,,,,
AcP,1995,W1591418478,,,,,
AcP,1995,W1257333098,,,,,
AcP,1995,W53633045,,,,,
AcP,1996,W1597377662,,,,,
AcP,1996,W2055469832,,,,,
AcP,1996,W1208153,,,,,
AcP,1996,W1571980549,,,,,
AcP,1996,W1573699515,,,,,
AcP,1996,W130293766,,,,,
AcP,1996,W1565336998,,,,,
AcP,1996,W992532833,,,,,
AcP,1996,W1502810442,,,,,
AcP,1996,W1494683480,,,,,
AcP,1996,W148044009,,,,,
AcP,1996,W2741589791,,,,,
AcP,1996,W442410281,,,,,
AcP,1996,W2028649757,,,,,
AcP,1996,W1526748300,,,,,
AcP,1996,W1553780295,,,,,
AcP,1997,W1560987577,,,,,
AcP,1997,W1540073283,,,,,
AcP,1997,W1559818304,,,,,
AcP,1997,W1541846037,,,,,
AcP,1997,W60434746,,,,,
AcP,1997,W2240522984,,,,,
AcP,1997,W942337429,,,,,
AcP,1997,W1604039241,,,,,
AcP,1997,W1591439885,,,,,
AcP,1997,W1568536640,,,,,
AcP,1997,W105008745,,,,,
AcP,1997,W1490447307,,,,,
AcP,1997,W1512135002,,,,,
AcP,1997,W1480685920,,,,,
AcP,1997,W1502918841,,,,,
AcP,1998,W1500822620,,,,,
AcP,1998,W1497761493,,,,,
AcP,1998,W1518753839,,,,,
AcP,1998,W1531642775,,,,,
AcP,1998,W48847275,,,,,
AcP,1998,W1544634313,,,,,
AcP,1998,W439355730,,,,,
AcP,1998,W1586616290,,,,,
AcP,1998,W1578597278,,,,,
AcP,1998,W2118217880,,,,,
AcP,1998,W87187091,,,,,
AcP,1998,W167572541,,,,,
AcP,1998,W2052394835,,,,,
AcP,1998,W111228803,,,,,
AcP,1998,W1583396337,,,,,
AcP,1999,W1608675305,,,,,
AcP,1999,W37259867,,,,,
AcP,1999,W1568680492,,,,,
AcP,1999,W1608741498,,,,,
AcP,1999,W22889175,,,,,
AcP,1999,W1598922731,,,,,
