"abk","citing_pubyear","count"
AcP,2002,34
JZ,2017,293
ZStW,2015,314
ZFA,2019,2
AcP,1996,4
AöR,2006,14
ZStW,1915,4
ZRG,1974,15
RdA,2011,1
ZStW,1990,16
RabelsZ,2015,107
ZStW,1923,2
AöR,1996,1
ZRP,2018,20
MDR,2024,8
AVR,2020,211
JURA,2018,21
ZRP,2014,6
NStZ,2008,4
JR,1955,120
RabelsZ,2004,10
ZStW,1969,3
JR,2020,155
AcP,2007,34
MDR,2021,52
ZRG,1938,3
KJ,2009,93
StV,2010,4
GmbHR,2017,6
CR,2005,1
NStZ,2007,1
JR,1932,121
ZRG,1960,10
ZRG,1994,444
ZRG,1942,4
JR,1993,89
AVR,2018,53
CR,2021,100
RabelsZ,2009,31
ZGR,1980,2
ZStW,1994,11
DVBI,1987,1
Verw,2011,3
ZStW,1906,1
JR,1947,5
ZStW,1983,10
ZZP,2018,7
AöR,2021,154
Verw,2014,17
JR,1967,44
JURA,2016,25
JR,1966,62
ZGR,1997,15
ZStW,1905,1
BB,2012,1
NStZ,2021,20
JR,1984,80
ZZP,2013,6
ZRG,1984,143
CR,2002,2
JR,1996,89
VerwArch,2017,3
RabelsZ,2008,17
JR,1988,107
ZStW,1916,1
ZRG,1968,11
EuR,2008,39
ZaoRV,2014,1
ZRG,1978,24
ZGR,2006,71
VerwArch,1986,3
Staat,2014,65
ZGR,1999,9
JR,1950,50
MDR,2023,29
JZ,1989,2
EuR,2004,2
CR,2004,1
DVBI,2019,60
CR,2024,52
EuR,2021,142
ZRG,1909,2
DVBI,2005,1
JR,2000,108
Staat,2002,9
ZStW,2012,128
NZG,2014,2
BB,2010,3
AcP,1989,3
ZRG,1979,24
AcP,1985,1
NZG,2008,6
ZStW,1962,1
ZRG,1941,5
NStZ,2006,1
ZGR,1996,16
DVBI,2011,4
ZStW,1976,2
ZRP,2022,7
ZStW,1907,1
VerwArch,2023,4
NStZ,2011,10
ZRG,2002,512
NZG,2011,5
AöR,2001,7
ZStW,2010,125
ZRG,1993,41
BB,2005,8
KJ,1980,47
KJ,1984,41
AcP,2000,8
JURA,2022,61
JURA,2013,14
JR,1960,81
KJ,1975,38
ZGR,1994,6
JURA,2000,1
JZ,1983,1
JURA,2012,19
KJ,1971,29
Staat,2012,52
AG,2023,20
DVBI,2001,1
AG,1989,1
AG,2010,17
ZaoRV,2020,1
ZZP,2024,3
AcP,2023,85
ZRG,1944,3
JR,1953,118
JR,2010,139
ZStW,1970,3
ZRG,1951,15
AG,2014,10
Staat,2016,114
Staat,2009,55
ZRG,1980,39
CR,2017,80
AG,2017,26
JR,2011,103
JR,1946,4
ZStW,1940,2
EuR,2011,49
ZRP,1998,1
MDR,2017,9
ZRG,2007,258
Staat,1968,1
ZGR,2019,70
ZGR,2003,49
ZStW,1993,23
AVR,2006,11
ZStW,1924,2
JR,1965,82
ZGR,2017,104
AG,2001,1
AcP,1991,4
VerwArch,2021,6
EuR,2018,69
AG,2008,3
AcP,2005,37
JR,1929,142
ZZP,2008,3
ZStW,1961,11
StV,2012,4
JR,1933,77
Staat,2024,139
AVR,2023,73
KJ,2004,69
NStZ,1998,1
EuR,2020,137
ZStW,1977,2
Staat,2021,112
EuR,2009,104
Staat,2004,8
ZRG,2014,390
ZFA,2020,1
AVR,2014,48
JURA,2014,13
KJ,2012,83
ZRG,2015,475
KJ,1976,36
JZ,2015,269
JR,1970,36
KritV,2019,31
KJ,2007,85
ZRG,2000,953
GmbHR,2022,5
JR,2016,214
KJ,1987,49
GmbHR,2016,2
AöR,2000,7
StV,2003,1
NStZ,2023,11
ZRG,1896,1
ZFA,2023,6
JR,1931,133
MDR,2014,8
Verw,2020,26
ZRG,1932,9
AöR,1978,1
ZStW,1953,1
ZRG,1970,24
VerwArch,2010,2
AcP,2020,77
BB,2007,8
KJ,2000,61
ZStW,1972,3
