"source_id","display_name","works_count","cited_by_count","law_and_de","law_and_de_article_share","citations_per_paper","in_goldstandard"
S4210170915,IG,768,1382,93,0.12,1.80,false
S4210171504,Sicher ist sicher,2613,164,374,0.14,0.06,false
S4210171810,Schweizerische Zeitschrift für Geschichte,185,35,19,0.10,0.19,false
S4210172382,Zeitschrift für Insolvenzrecht,123,3,56,0.46,0.02,false
S4210172945,Recht der Jugend und des Bildungswesens,907,989,274,0.30,1.09,false
S4210173382,osteuropa recht,1024,217,370,0.36,0.21,false
S4210173560,Deutsch-Russische Rechtszeitschrift,153,3,53,0.35,0.02,false
S4210174170,Zeitschrift für Risikomanagement,110,15,12,0.11,0.14,false
S4210174233,Zeitschrift für Abgaben- Finanz- und Steuerrecht,941,3,307,0.33,0.00,false
S4210174307,Betriebliche Prävention,895,21,97,0.11,0.02,false
S4210174569,Zeitschrift für Bankrecht und Bankwirtschaft,1968,1437,705,0.36,0.73,false
S4210174736,Zeitschrift für Parlamentsfragen,1620,4673,215,0.13,2.88,false
S4210174902,Neue-Hochschulzeitung,699,2,301,0.43,0.00,false
S4210175340,"Innovative Verwaltung/VOP. Verwaltung, Organisation, Personal",3196,396,415,0.13,0.12,false
S4210175502,UmsatzsteuerRundschau,4108,117,1088,0.26,0.03,false
S4210175950,Zeitschrift für evangelisches Kirchenrecht,699,148,198,0.28,0.21,false
S4210176952,ELSA Austria Law Review,66,3,32,0.48,0.05,false
S4210177099,Recht Innovativ,81,16,20,0.25,0.20,false
S4210177197,Zeitschrift für das gesamte Insolvenzrecht,1625,86,620,0.38,0.05,false
S4210177553,Zeitschrift für Beihilfenrecht,253,1,191,0.75,0.00,false
S4210177663,Zeitschrift der Verwaltungsgerichtsbarkeit,1683,11,1074,0.64,0.01,false
S4210178946,Zeitschrift für die gesamte Versicherungswissenschaft,1524,2857,319,0.21,1.87,false
S4210180091,Nachhaltigkeits Recht,277,48,99,0.36,0.17,false
S4210180125,Kranken- und Pflegeversicherung,1554,166,193,0.12,0.11,false
S4210180565,Zeitschrift für Wettbewerbsrecht,682,910,313,0.46,1.33,false
S4210180824,Zeitschrift für Gesellschaftsrecht und angrenzendes Steuerrecht,1067,4,423,0.40,0.00,false
S4210181017,ZESAR. Zeitschrift für europäisches Sozial- und Arbeitsrecht/Zeitschrift für europäisches Sozial- und Arbeitsrecht/ZESARdigital,1498,100,582,0.39,0.07,false
S4210181415,Kölner Schrift zum Wirtschaftsrecht,408,75,127,0.31,0.18,false
S4210182041,Transportrecht,350,32,111,0.32,0.09,false
S4210182518,Journal für Medizin- und Gesundheitsrecht,388,15,62,0.16,0.04,false
S4210182874,KUR - Kunst und Recht,600,83,128,0.21,0.14,false
S4210184097,zeitschrift für menschenrechte,226,66,38,0.17,0.29,false
S4210184728,Zeitschrift für Miet- und Raumrecht,344,6,67,0.19,0.02,false
S4210185043,Recht der Energiewirtschaft,344,43,137,0.40,0.13,false
S4210185181,Wirtschaftsinformatik & Management,1322,839,142,0.11,0.63,false
S157638965,JuristenZeitung,6720,4459,2722,0.41,0.66,true
S4210185480,Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,5509,516,1964,0.36,0.09,false
S4210185836,Journal für Strafrecht,2850,34,1419,0.50,0.01,false
S4210186079,Journal of Constitutional Justice,84,10,15,0.18,0.12,false
S4210186192,Zeitschrift für kritik - recht - gesellschaft,798,93,264,0.33,0.12,false
S4210186373,Familie und Recht,556,42,120,0.22,0.08,false
S4210187048,Medialex,202,5,103,0.51,0.02,false
S4210187269,JurPC,6454,920,909,0.14,0.14,false
S4210187516,Verwaltung & Management,1267,1214,193,0.15,0.96,false
S4210187776,Journal für Rechtspolitik,795,251,397,0.50,0.32,false
S4210189108,Baurechtliche Blätter,3854,57,1276,0.33,0.01,false
S4210189457,MarkenR,339,26,63,0.19,0.08,false
S4210189916,EnergieRecht,755,37,267,0.35,0.05,false
S4210190775,Deutsches und Europäisches Familienrecht,49,27,16,0.33,0.55,false
S4210190855,Österreichische Zeitschrift für Kartellrecht,502,5,337,0.67,0.01,false
S4210191860,Zeitschrift für geistiges Eigentum,518,303,276,0.53,0.58,false
S4210192053,Zeitschrift für öffentliches Recht,812,704,278,0.34,0.87,false
S4210192237,Journal der Juristischen Zeitgeschichte,646,224,95,0.15,0.35,false
S4210192694,Informationsbrief Ausländerrecht,586,11,178,0.30,0.02,false
S4210193381,Juristische Blätter,3624,202,2143,0.59,0.06,false
S4210193401,Journal of Criminal Law,484,130,88,0.18,0.27,false
S4210194230,Wissenschaftsrecht,523,166,235,0.45,0.32,false
S4210194589,Zeitschrift für Stiftungswesen,443,0,177,0.40,0.00,false
S4210195018,Zeitschrift für die Notarpraxis,577,6,199,0.34,0.01,false
S4210195524,Jahrbuch des öffentlichen Rechts der Gegenwart Neue Folge,565,379,228,0.40,0.67,false
S4210195811,Jahrbuch für Recht und Ethik / Annual Review of Law and Ethics,84,29,21,0.25,0.35,false
S4210196136,Immissionsschutz digital/Immissionsschutz,473,77,47,0.10,0.16,false
S4210196227,Recht und Politik,1132,461,421,0.37,0.41,false
S4210196997,XVIII.ch,154,22,16,0.10,0.14,false
S4210197085,Steuer- und RechtsBrief Touristik/SRTour digital,1533,1,333,0.22,0.00,false
S4210197671,Finanz-Rundschau Ertragsteuerrecht,2655,314,683,0.26,0.12,false
S4210197902,Die Personalvertretung/Personalvertretung digital,2168,24,1040,0.48,0.01,false
S4210197913,ZCG digital/Zeitschrift für Corporate Governance,908,223,103,0.11,0.25,false
S4210197948,Rechtsphilosophie,439,98,175,0.40,0.22,false
S4210199324,Zeitschrift für Flüchtlingsforschung,175,419,20,0.11,2.39,false
S4210199422,Die Sozialgerichtsbarkeit,2089,140,428,0.20,0.07,false
S4210199995,Zeitschrift für Rechtssoziologie,958,2569,323,0.34,2.68,false
S4210200226,Global Europe – Basel Papers on Europe in a Global Perspective,87,29,14,0.16,0.33,false
S4210201404,Zeitschrift für Konfliktmanagement,1830,483,362,0.20,0.26,false
S4210201413,GesundheitsRecht,3955,432,630,0.16,0.11,false
S4210201536,Zeitschrift für das Privatrecht der Europäischen Union,584,67,248,0.42,0.11,false
S4210202675,Wege zur Sozialversicherung,1143,34,281,0.25,0.03,false
S4210202933,FinanzRundschau,2219,84,476,0.21,0.04,false
S4210203378,RW,500,456,239,0.48,0.91,false
S4210203675,Zeitschrift für Steuerstrafrecht und Steuerverfahren,230,2,102,0.44,0.01,false
S4210204621,"Krisen-, Sanierungs- und Insolvenzberatung/KSI digital",1086,70,194,0.18,0.06,false
S4210205159,PinG Privacy in Germany,728,88,360,0.49,0.12,false
S4210205831,Verfassung in Recht und Übersee,3888,26751,409,0.11,6.88,false
S4210205881,Die steuerliche Betriebsprüfung/Die steuerliche Betriebsprüfung digital,1883,20,636,0.34,0.01,false
S4210207965,Business Reporting,73,16,10,0.14,0.22,false
S4210209691,Kirche und Recht,169,14,29,0.17,0.08,false
S4210211067,RuZ - Recht und Zugang,111,24,60,0.54,0.22,false
S4210213967,Richter ohne Robe,208,4,76,0.37,0.02,false
S4210214652,Zeitschrift für Hochschulrecht Hochschulmanagement und Hochschulpolitik zfhr,765,66,359,0.47,0.09,false
S4210214821,"Risk, fraud & compliance",865,199,154,0.18,0.23,false
S4210216878,ReiseRechts aktuell,4719,114,1292,0.27,0.02,false
S4210217558,Jusletter IT,953,356,379,0.40,0.37,false
S4210217744,Zeitschrift für Sozialreform,548,1652,53,0.10,3.01,false
S4210218008,Jahrbuch Eigentum und Urheberrecht in der Demokratie,21,0,14,0.67,0.00,false
S4210218081,Beiträge zur Rechtsgeschichte Österreichs,440,137,104,0.24,0.31,false
S4210218091,Recht in Afrika,178,44,30,0.17,0.25,false
S4210218103,Richterzeitung,626,40,241,0.38,0.06,false
S4210218497,Zeitschrift für das gesamte Verfahrensrecht – GVRZ,185,33,109,0.59,0.18,false
S4210218736,Zeitschrift für Politik,696,1558,73,0.10,2.24,false
S4210218922,Zeitschrift für Verbraucherpolitik,198,668,29,0.15,3.37,false
S4210219120,LeGes/Gesetzgebung heute,105,20,23,0.22,0.19,false
S4210219809,europa ethnica,314,75,56,0.18,0.24,false
S4210220099,Krankenhaus-Rechtsprechung,883,7,104,0.12,0.01,false
S4210220595,rv. Die Rentenversicherung/Die Rentenversicherung,687,9,176,0.26,0.01,false
S4210220886,Wohnrechtliche Blätter,2805,41,1429,0.51,0.01,false
S4210221023,The Korean Association of Civil Law,208,8,21,0.10,0.04,false
S4210221124,Neue Kriminalpolitik,1854,1719,219,0.12,0.93,false
S4210222021,Fachanwalt Arbeitsrecht,875,35,406,0.46,0.04,false
S4210222790,Journal für Erbrecht und Vermögensnachfolge,208,1,89,0.43,0.00,false
S4210223041,Jahrbuch Menschenrechte,327,121,50,0.15,0.37,false
S4210223405,Zeitschrift für Didaktik der Rechtswissenschaft,472,182,226,0.48,0.39,false
S4210223432,Rechtsgeschichte - Legal History,1445,2099,183,0.13,1.45,false
S4210223612,Innovative Verwaltung,613,93,94,0.15,0.15,false
S4210223645,djbZ - Zeitschrift des Deutschen Juristinnenbundes,1528,561,377,0.25,0.37,false
S4210224004,Zeitschrift Interne Revision/ZIR digital,733,90,148,0.20,0.12,false
S4210224812,Wirtschaftsrechtliche Blätter,4538,128,2828,0.62,0.03,false
S4210224998,Zeitschrift für Vergaberecht,1728,7,893,0.52,0.00,false
S4210225171,Zeitschrift für Staats- und Europawissenschaften,560,1510,101,0.18,2.70,false
