"journal_name","doi","openalex_id","pubyear","pubyear_openalex","author_cnt","author_cnt_openalex","publisher","publisher_openalex","inst_count_openalex","citations_count"
JZ,"10.1628/002268806778171881",W2022672327,2006,2006,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1994-3-284",W4236576986,1994,1994,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
RabelsZ,"10.1628/rabelsz-2019-0055",W2955169184,2019,2019,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
KJ,"10.5771/0023-4834-2020-4-425",W3111646717,2020,2020,3,3,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,2
AcP,"10.1628/000389904780603067",W2054047481,2004,2004,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,7
JZ,"10.1628/002268811795685255",W4210316396,2011,2011,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389107780748017",W4248175680,2007,2007,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1988-4-410",W4249565666,1988,1988,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,1,1
JZ,"10.1628/002268808784109098",W2314105754,2008,2008,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268815X14423069203185",W2336290358,2016,2016,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268817X14925221683166",W4247401135,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268809788498858",W2024121559,2009,2009,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372515X14274601496668",W2331968687,2015,2015,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,1
JZ,"10.1628/jz-2020-0029",W4251330474,2020,2020,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KritV,"10.5771/2193-7869-2015-2-130",W4241914506,2015,2015,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
AcP,"10.1628/000389917X15096085924842",W2792589285,2017,2017,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268809788161482",W2048676814,2009,2009,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,3
JZ,"10.1628/jz-2020-0144",W4237951330,2020,2020,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268815X14188140054651",W2329687520,2015,2015,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,1
AöR,"10.1628/000389117X14956127748034",W2728700923,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KritV,"10.5771/2193-7869-2006-1-21",W2318351802,2006,2006,2,2,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
KJ,"10.5771/0023-4834-1989-4-500",W4214549596,1989,1989,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
KJ,"10.5771/0023-4834-2016-3-363",W2515378864,2016,2016,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
JZ,"10.1628/002268815X14298841058387",W2915546883,2015,2015,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268807782017796",W4237091144,2007,2007,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268809787295908",W2046241247,2009,2009,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372509788930718",W1980484250,2009,2009,1,1,Mohr Siebeck,Mohr Siebeck Verlag,1,5
JZ,"10.1628/jz-2021-0395",W4205570059,2021,2021,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268817X14845656323252",W2598693254,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,3
JZ,"10.1628/jz-2021-0287",W4232853359,2021,2021,1,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AcP,"10.1628/000389907780456671",W2057521369,2007,2007,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1986-2-240",W4211110671,1986,1986,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
Staat,"10.3790/staa.61.2.261",W4288058563,2022,2022,1,1,Duncker & Humblot GmbH,Duncker & Humblot,0,0
KJ,"10.5771/0023-4834-1970-1-110",W4250627085,1970,1970,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
KritV,"10.5771/2193-7869-2019-3-186",W4248822178,2020,2019,0,0,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
RabelsZ,"10.1628/003372512801786890",W2331151018,2012,2012,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
RabelsZ,"10.1628/003372513X661094",W2061652756,2013,2013,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,1
AöR,"10.1628/000389117X15054009148888",W2761779013,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1989-1-1",W4244612439,1989,1989,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,11
Staat,"10.3790/staa.54.4.501",W2220800831,2015,2015,1,1,Duncker & Humblot GmbH,Duncker & Humblot,0,0
AcP,"10.1628/000389916X14695180170769",W2523712212,2016,2016,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2019-0077",W2981385405,2019,2019,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/002268808784760905",W1965922570,2008,2008,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,2
JZ,"10.1628/002268813X13595360220761",W4254985207,2013,2013,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,4
JZ,"10.1628/002268808784271115",W2916467083,2008,2008,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/rabelsz-2023-0006",W4319441180,2023,2023,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
KJ,"10.5771/0023-4834-2019-3-247",W2970820870,2019,2019,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
RabelsZ,"10.1628/rabelsz-2018-0103",W2906490068,2018,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,1
KJ,"10.5771/0023-4834-2012-1-26",W2402058940,2012,2012,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,4
JZ,"10.1628/002268810791871479",W2041930036,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AöR,"10.1628/000389110792016553",W2048282430,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2018-0082",W4242300862,2018,2018,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-2012-1-54",W2396378958,2012,2012,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
RabelsZ,"10.1628/003372514X683701",W2519169564,2014,2018,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,10
JZ,"10.1628/002268815X14418145181460",W2918164088,2015,2015,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2021-0102",W4238097993,2021,2021,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1979-2-193",W4212800045,1979,1979,2,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/jz-2021-0216",W4252216037,2021,2021,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
RabelsZ,"10.1628/003372517X14912063552077",W2717725251,2017,2017,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
JZ,"10.1628/jz-2019-0036",W4248835810,2019,2019,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-2005-4-370",W2319554697,2005,2005,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,8
RabelsZ,"10.1628/003372515X14274601496749",W2323749711,2015,2015,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
Staat,"10.3790/staa.57.4.563",W2913080018,2018,2018,2,2,Duncker & Humblot GmbH,Duncker & Humblot,0,0
JZ,"10.1628/jz-2020-0383",W4256437241,2020,2020,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-2010-3-270",W2317665987,2010,2010,3,3,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,2
AöR,"10.1628/000389112800794189",W2330956167,2012,2012,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1985-4-345",W4230044030,1985,1985,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,1,3
RabelsZ,"10.1628/003372516X14583027726477",W2915447076,2016,2016,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1996-2-127",W4256397758,1996,1996,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
JZ,"10.1628/jz-2018-0244",W4252250246,2018,2018,0,0,Mohr Siebeck,Mohr Siebeck Verlag,0,0
AcP,"10.1628/000389907783429182",W2028809032,2007,2007,1,1,Mohr Siebeck,Mohr Siebeck Verlag,1,1
AöR,"10.1628/aoer-2023-0025",W4387507060,2023,2023,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KJ,"10.5771/0023-4834-1968-2-168",W4252037948,1968,1968,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,0
AöR,"10.1628/000389115X14412827917836",W2956084500,2015,2015,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,2
KJ,"10.5771/0023-4834-1981-2-109",W4241674369,1981,1981,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,2,3
JZ,"10.1628/002268810790214172",W4241175359,2010,2010,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,3
JZ,"10.1628/002268816X14666655007993",W2916145233,2016,2016,1,1,Mohr Siebeck,Mohr Siebeck Verlag,0,0
Staat,"10.3790/staa.52.1.87",W2072702243,2013,2013,1,1,Duncker & Humblot GmbH,Duncker & Humblot,0,2
KJ,"10.5771/0023-4834-2020-3-348",W3083215048,2020,2020,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,1,0
JZ,"10.1628/002268817X14915486446978",W2612675133,2017,2017,2,2,Mohr Siebeck,Mohr Siebeck Verlag,0,0
KritV,"10.5771/2193-7869-2016-1-6",W4254289370,2016,2016,1,1,Nomos Verlagsgesellschaft mbH & Co. KG,Nomos,0,1
