journal,abbreviation,issn
Austrian review of international and European law,ARIEL,
Arztrecht,ArztR,
ASDA-Bulletin : Schweizer Fachzeitschrift für Luft- und Weltraumrecht,ASDA-Bulletin,
"Anwalt, Anwältin im Sozialrecht",ASR,
Arbeit und Arbeitsrecht,AuA,0323-4568
Ausländer- und Asylrecht Schnelldienst,AuAS,
Aufsichtsrat,Aufsichtsrat,
Der Arzt und sein Recht,AusR,
Betriebs-Berater / Außenwirtschaftsdienst,AWD,
AWR-Bulletin : Vierteljahresschrift für Flüchtlingsfragen,AWR-Bulletin,
Die Bank,Bank,0342-3182
Bank-Archiv,BankArch,
Der Bausachverständige,Bausachverständige,
Bayerischer Gemeindetag,BayGT,
Bundesbaublatt,BBB,
Berliner Anwaltsblatt,BerlAnwBl,0930-3065
Betriebliche Altersversorgung,BetrAV,
Betrifft: Justiz,Betrifft Justiz,
Bewertungs-Praktiker Fachinformationen zu Bewertungsfragen,BewertungsPraktiker,
Bewährungshilfe,BewHi,
BFH/NV Sammlung der Entscheidungen des Bundesfinanzhofs,BFH/NV,
Die Berufsgenossenschaft,BG,
Basler juristische Mitteilungen,BJM,
Die Betriebskrankenkasse,BKK,
Blätter für deutsche und internationale Politik,Blätter,0006-4416
Bucerius Law Journal,BLJ,1864-371X
"Blatt für Patentwesen, Muster- u. Zeichenwesen",BlPMZ,
Blutalkohol,Blutalkohol,
Zeitschrift für betriebliche Prävention und Unfallversicherung,BPUVZ,
Bundesgesundheitsblatt – Gesundheitsforschung – Gesundheitsschutz,Bundesgesundheitsbl,
Zeitschrift für das Notariat in Baden-Württemberg,BWNotZ,
Corporate-Compliance-Zeitschrift,CCZ,
Corporate Finance law,CFL,
Computer Law Review International,CRi,1439-8001
Contracting und Recht,CuR,1613-950X
DAJV-Newsletter,DAJV-Newsletter,
Datenschutz-Nachrichten,DANA,
Deutsche Polizei,Deutsche Polizei,
Deutsche Gerichtsvollzieher-Zeitung,DGVZ,
Zeitschrift des Deutschen Juristinnenbundes,djbZ,1866-377X
Deutsche Lebensmittelrundschau,DLR,
DNotI-Report,DNotI-Report,
Der öffentliche Dienst,DöD,
Die öffentliche Verwaltung,DÖV,
Deutsch-polnische Juristen-Zeitschrift,DPJZ,
Deutsche Rentenversicherung,DRV,
Deutsche Steuer-Zeitung,DStZ,0724-5637
Deutsches Ärzteblatt,Dtsch Ärztebl,0012-1207
Deutsche Verwaltungspraxis,DVP,0343-9496
Der Wohnungseigentümer,DWE,
Deutsche Wohnungswirtschaft,DWW,
European company and financial law review,ECFR,
European Criminal Law Review,ECLR,
Entscheidungen der Finanzgerichte,EFG,0421-2991
European Law Reporter,ELR,1028-9690
Evangelischer Pressedienst Medien,epd medien,
Energierecht. Zeitschrift für die gesamte Energierechtspraxis,ER,
Der Erbschaft-Steuerberater,ErbStB,
Der Ertrag-Steuer-Berater,EStB,
Energiewirtschaftliche Tagesfragen,et,
EU-Umsatz Steuer-Berater,EU-UStB,
Zeitschrift für Europarecht,EuZ,1029-2640
Zeitschrift des Instituts für Energie- und Wettbewerbsrecht in der Kommunalen Wirtschaft e.V.,EWeRK,
FinanzArchiv,FA,0015-2218
Der Familien-Rechtsberater,FamRB,
FamRB international,FamRB international,
Frankfurter Allgemeine Zeitung,FAZ,0174-4909
Praxis der Freiwilligen Gerichtsbarkeit,FGPrax,
"Finanzierung, Leasing, Factoring",FLF,
Forum Recht,FoR,0930-6420
Forderungs-Praktiker,Forderungs-Praktiker,1869-6295
Forum Kriminalprävention,Forum Kriminalpräv.,
Zeitschrift für Strafvollzug u. Straffälligenhilfe,Forum Strafvollzug,
Forderung & Vollstreckung,FoVo,
"Familie, Partnerschaft, Recht",FPR,
Forum Strafvollzug,FS,
Die Gemeinde [Baden-Württemberg],Gemeinde [BW],
Die Gemeinde [Schleswig-Holstein],Gemeinde [SH],
der gemeindehaushalt,gemeindehaushalt,
Geschichte und Gesellschaft,Geschichte und Gesellschaft,0340-613X
Gesundheitsrecht,GesR,1610-1197
Der Gesellschafter,GesRZ,
German law journal,GLJ,
GmbH-Steuerpraxis,GmbH-Steuerpraxis,
Göttingen journal of international law,GoJIL,
Greifswalder Halbjahresschrift für Rechtswissenschaft,GreifRecht,
Das Grundeigentum,Grundeigentum,0017-4882
Gewerblicher Rechtsschutz und Urheberrecht. Internationaler Teil,GRUR Int,
Gewerblicher Rechtsschutz und Urheberrecht. Praxis im Immaterialgüter- und Wettbewerbsrecht,GRUR-Prax,
Gewerblicher Rechtsschutz und Urheberrecht. Rechtsprechungs-Report,GRUR-RR,
Grundstücksmarkt und Grundstückswert,GuG,
Gesundheits- und Sozialpolitik,GuS,1611-5821
Gewerbemiete und Teileigentum,GuT,
German yearbook of international law,GYIL,
Das Hauseigentum,Hauseigentum,
Hoechstrichterliche Finanzrechtsprechung,HFR,
Herder-Korrespondenz,HK,
Hamburger Zeitschrift für Schiffahrtsrecht,HmbSchRZ,
Hamburger Zeitschrift für Schiffahrtsrecht - International,HmbSchRZ-Int,
HöchstRichterliche Rechtsprechung im Strafrecht,HRRS,
Hessische Städte- und Gemeindezeitung,HSGZ,
Humanitäres Völkerrecht,HuV,2625-719X
Humanitäres Völkerrecht - Informationsschriften,HuV-I,
Historische Zeitschrift,HZ,0018-2613
