"alternativeTitle","id","issn","otherTitleInformation","shortTitle","title"
"OLG-Entscheidungen in Zivilsachen; OLGZ ( Nebent. teils )","http://lobid.org/resources/990054456030206441#!","04251288",,,"Entscheidungen der Oberlandesgerichte in Zivilsachen einschließlich der freiwilligen Gerichtsbarkeit"
"Die deutsche Ortskrankenkasse ( Hauptsacht. 20.1933,16 - 21.1934,10 )","http://lobid.org/resources/990054456640206441#!","00305995",,,"Die Ortskrankenkasse"
,"http://lobid.org/resources/990054457360206441#!","16118359",,,"Zeitschrift für geschichtliche Rechtswissenschaft"
"20 Jahre Rechtsentscheide zum Wohnraummietrecht ( 7.1987 ohne Hauptsacht. u. mit Stücktitel )","http://lobid.org/resources/990054271710206441#!","07247672","Sammlung aller Rechtsentscheide des BGH und der Oberlandesgerichte aus dem Jahre ...",,"Rechtsentscheidsammlung zum Wohnraummietrecht"
,"http://lobid.org/resources/990054484280206441#!","01748270","die Kriegsschuldfrage",,"Berliner Monatshefte für internationale Aufklärung"
,"http://lobid.org/resources/990114169420206441#!","15061817",,"Czas. Prawa Kar. Nauk Penal.","Czasopismo prawa karnego i nauk penalnych"
"MittKGSt.; Mitteilungen der Kommunalen Gemeinschaftsstelle für Verwaltungsvereinfachung ( Nebent. bis 37.1992 ); Mitteilungen der Kommunalen Gemeinschaftsstelle ( Nebent. 38.1993 )","http://lobid.org/resources/990055029210206441#!","04507088 04507088",,,"KGSt-Mitteilungen"
,"http://lobid.org/resources/990054457170206441#!","04494334",,,"Juristen-Jahrbuch"
"KTS; Zeitschrift für Insolvenzrecht","http://lobid.org/resources/990054322620206441#!","1432461X 1432461X","KTS ; Zeitschrift für Insolvenzrecht",,"Konkurs, Treuhand, Sanierung"
"WiRO","http://lobid.org/resources/990056026000206441#!","09416293 09416293","WiRO ; Zeitschrift zur Rechts- und Wirtschaftsentwicklung in den Staaten  Mittel- und Osteuropas",,"Wirtschaft und Recht in Osteuropa"
"KSzW","http://lobid.org/resources/990178137290206441#!","18693679 18693679","KSzW",,"Kölner Schrift zum Wirtschaftsrecht"
"Akademie, die Wissen schafft","http://lobid.org/resources/990056072350206441#!","0944582X 0944582X","Zeitschrift für Führungskräfte in Verwaltung und Wirtschaft",,"Akademie"
,"http://lobid.org/resources/990116278350206441#!","14303272 14303272",,,"Statistische Berichte des Bayerischen Landesamts für Statistik und Datenverarbeitung, L. IV. 13: Gewerbesteuerpflichtige, Besteuerungsgrundlagen und Steuermeßbeträge in Bayern : Ergebnisse der Gewerbesteuerstatistik"
"NuR","http://lobid.org/resources/990132933490206441#!","14390515 14390515","Zeitschrift für das gesamte Recht zum Schutze der natürlichen Lebensgrundlagen und der Umwelt","Nat. Recht","Natur und Recht"
"Produkt- und Umwelthaftpflicht international ( Zusatz bis 2000,4 )","http://lobid.org/resources/990056113800206441#!","18647227 18647227","Haftpflicht international, Recht und Versicherung",,"PHi"
"SVR; Verkehrszivilrecht, Ordnungswidrigkeiten - Strafrecht, Versicherungsrecht, Verkehrsverwaltungsrecht","http://lobid.org/resources/990125260830206441#!","16131096","SVR : Zeitschrift für die Praxis des Verkehrsjuristen : Verkehrszivilrecht, Versicherungsrecht, Verkehrsstrafrecht, Ordnungswidrigkeiten, Verkehrsverwaltungsrecht",,"Straßenverkehrsrecht"
,"http://lobid.org/resources/990055369570206441#!","01743023","e. Zsstellung von steuerrechtl. Vorschriften für Steuerinländer mit Auslandsbeziehungen u. Steuerausländer mit Inlandsbeziehungen ; mit ausführl. Stichwortverz",,"Die Veranlagung ... Außensteuerrecht"
,"http://lobid.org/resources/99370722279006441#!","27480526 27480526","Sportrecht und E-Sportrecht in der Praxis",,"SpoPrax"
"Österreichische Blätter für gewerblichen Rechtsschutz und Urheberrecht; Österreichische Blätter für gewerblichen Rechtsschutz und Urheberrecht ( Hauptsacht. d. Repr. )","http://lobid.org/resources/990117142070206441#!","00298921","(österreichische Blätter für gewerblichen Rechtsschutz und Urheberrecht)",,"ÖBl"
,"http://lobid.org/resources/990054150940206441#!","03443876","Gewerbesteuergesetz u. Gewerbesteuer-Durchführungsverordnung mit Gewerbesteuer-Richtlinien in den für ... geltenden Fassungen. Im Anh.: Ausz. aus dem Einführungsgesetz zu den Realsteuergesetzen (EinfGRealStg), Tabelle der Steuerermeßbeträge nach dem Gewerbeertrag, Errechnung der Gewerbesteuer-Rückstellung bzw. der Gewerbesteuer- Überzahlung, Stichwortverzeichnis",,"Gewerbesteuer-Veranlagung ..."
"Zeitschrift für Theorie und Praxis des sozialistischen Wirtschaftsrechts ( Zusatz bis 1990,1 )","http://lobid.org/resources/990054475590206441#!","0323505X 05126320","Zeitschrift für Theorie und Praxis","Wirtschaftsrecht","Wirtschaftsrecht"
,"http://lobid.org/resources/990363557230206441#!","26990350 26990350",,,"Handbuch des Hessischen Landtags, Abgeordnete, Gremien und Organisation, Geschäftsordnung des Hessischen Landtags"
"ZZP Int; ZZPInt","http://lobid.org/resources/990056306920206441#!","14348888 14348888","ZZPInt ; Jahrbuch des internationalen Zivilprozeßrechts",,"Zeitschrift für Zivilprozeß international"
"ESLR","http://lobid.org/resources/990056095300206441#!","09479899","ESLR",,"Entscheidungssammlung Landwirtschaftsrecht"
"Vorträge zur griechischen und hellenistischen Rechtsgeschichte","http://lobid.org/resources/990054209580206441#!","03403149","Vorträge zur griechischen und hellenistischen Rechtsgeschichte",,"Symposion / Gesellschaft für Griechische und Hellenistische Rechtsgeschichte"
"DNot-CD","http://lobid.org/resources/990108850910206441#!","14342502 14342502","DNotZ ; MittBayNot, BWNotZ, RNotZ und MittRHNotK, DNotI-Report ; für Windows",,"Deutsche Notar-CD"
"Kriminalität in Berlin / 2","http://lobid.org/resources/990056349660206441#!","09499547 09499547","Kriminalität in Berlin",,"Polizeiliche Kriminalstatistik, Bd. 2: Deliktspezifischer Tabellenteil"
"BuW; Bilanzbuchhalterprüfung","http://lobid.org/resources/990055919920206441#!","0939415X","BuW ; Zeitschrift für Rechnungswesen, Steuern, Wirtschafts-, Arbeits- und Sozialrecht im Betrieb",,"Betrieb und Wirtschaft"
"InstGE","http://lobid.org/resources/990116285910206441#!","16191676",,,"Entscheidungen der Instanzgerichte zum Recht des geistigen Eigentums"
,"http://lobid.org/resources/990054141140206441#!","01769588",,,"Deutsche Rechtsbibliographie"
"KUR","http://lobid.org/resources/990108682340206441#!","14372355 14372355","KUR",,"Kunstrecht und Urheberrecht"
"FPR-Service; FPR; interdisziplinäres Fachjournal für die Anwaltspraxis ( Zusatz anfangs )","http://lobid.org/resources/990056182080206441#!","09472045 09472045","FPR ; Zeitschrift für die Anwaltspraxis ; interdisziplinäres Fachjournal",,"Familie, Partnerschaft, Recht"
"I + E; I und E","http://lobid.org/resources/990183826780206441#!","21913331 21913331","I + E",,"Zeitschrift für Immissionsschutzrecht und Emissionshandel"
"NStZ ( Nebent. teils ); Neue Zeitschrift für Strafrecht (NStZ) auf CD-ROM ( Nebent. teils )","http://lobid.org/resources/990056376830206441#!","09492186 09492186","die grosse Datenbank zum Strafrecht, die umfassende Entscheidungssammlung für den Strafrechtler ; Neue Zeitschrift für Strafrecht (NStZ), NStZ-RR, dazu Auszüge aus NJW (ab 1981), NJW-RR, NVwZ, NVwZ-RR, DtZ und VIZ, jeweils seit Bestehen ; über 12000 Entscheidungen, Aufsätze und Materialien im Volltext: voll zitierfähig mit Original-Seitenzählung ...",,"NStZ-Volltext-CD-ROM"
"Magazin des Rechts ( Nebent. d. Repr. )","http://lobid.org/resources/990054475620206441#!","21926468 21926468",,,"Magazin für die Philosophie des Rechts und der Gesetzgebung"
"dnp","http://lobid.org/resources/990055207040206441#!","07207794","die aktuelle Fachzeitschrift für die Aus- und Fortbildung ; dnp",,"Die neue Polizei"
,"http://lobid.org/resources/990054590950206441#!","09489509 09489509","Gesetze, Rechtsverordnungen, Verlautbarungen, Besprechungsergebnisse, BSG-Rechtsprechung in Leitsätzen",,"Sozialversicherungsbeitrag-Handausgabe"
"OLG-NL; Rechtsprechung neue Länder","http://lobid.org/resources/990056117140206441#!","09452176","OLG-NL ; für Brandenburg, Mecklenburg-Vorpommern, Sachsen, Sachsen-Anhalt, Thüringen",,"OLG-Rechtsprechung neue Länder"
"Entscheidungen des Staatsgerichtshofs der Freien Hansestadt Bremen ( Hauptsacht. teils )","http://lobid.org/resources/990054036680206441#!","07240600 07240600",,,"Entscheidungen des Staatsgerichtshofes der Freien Hansestadt Bremen"
"Bekanntmachungen von Tarifverträgen und sonstigen Vereinbarungen über Arbeitsbedingungen","http://lobid.org/resources/990055162420206441#!","00057193",,,"Amtsblatt des Bayerischen Staatsministeriums für Arbeit und Soziale Fürsorge"
