title,issn,alternativeTitle
"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung","03234045,03234045",Zeitschrift der Savigny-Stiftung für Rechtsgeschichte / Germanistische Abteilung; ZRG GA; Zeitschrift für Rechtsgeschichte / Germanistische Abteilung; ZRG GA; Zeitschrift für Rechtsgeschichte
Entscheidungsanmerkungen zum Wirtschafts- und Bankrecht,"23647310,23647310",WuB
Zeitschrift des Bernischen Juristenvereins,00442127,ZBJV; Zeitschrift des Bernischen Juristenvereins und Monatsblatt für bernische Rechtsprechung ( Hauptsacht. 35=16.1899 - 59=40.1923 )
"Gesetz- und Verordnungsblatt für das Land Hessen, T. 1","03423557,03423557",Gesetz- und Verordnungsblatt für das Land Hessen / 1
Praxis Steuerstrafrecht,"14350122,14350122",PStR
Journal für Rechtspolitik,"09434011,09434011",JRP
"Kommunalpraxis, Ausgabe Bayern","01717510,01717510","Kommunalpraxis / Ausgabe Bayern; Zeitschrift für Verwaltung, Organisation und Recht ( Zusatz anfangs ); KommP BY ( Nebent. teils ); Bayern ( Sachl. Benennung teils )"
Der Schöffe,00366250,Zeitschrift für Schöffen und Schiedsmänner ( Zusatz anfangs ); Zeitschrift für Schöffen und Schiedskommissionen ( Zusatz teils )
Altersteilzeitarbeit,2192788X,"Sozialversicherungsrecht, Arbeits- und Steuerrecht, Gesetze und Verordnungen ( Zusatz anfangs )"
"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung",23044861,Zeitschrift der Savigny-Stiftung für Rechtsgeschichte / Germanistische Abteilung
"Reichs-Fama, welche das Merckwürdigste von demjenigen, so sich ganz kürzlich auf dem Reichs-Convent, an dem Kayserlichen und anderen Höfen, auch mit denen übrigen Ständen des Heiligen Römischen Reichs zugetragen, besonders das, so in das Jus publicum Germaniae tam universale, quam singulorum statuum einschläget, aufrichtig und in guter Ordnung mittheilet","23654570,23654570","Reichs-Fama, welche das Merckwürdigste von demjenigen, so sich gantz kürtzlich auf dem Reichs-Convent, an dem Kayserlichen und anderen Höfen, auch mit denen übrigen Ständen des Heiligen Römischen Reichs zugetragen ... ( Hauptsacht. teils ); Reichs-Fama, welche das Merckwürdigste von demjenigen, so sich gantz kürtzlich auf dem Reichs-Convent, an dem Kayserlichen und anderen Höfen, auch mit denen übrigen Ständen des H. Römischen Reichs zugetragen ... ( Hauptsacht. teils ); Reichs-Fama, welche fürnemlich das Merckwürdigste von demjenigen, so sich gantz kürtzlich auf dem Reichs-Convent, an dem Kayserlichen und anderen Höfen, auch mit denen übrigen Ständen des Heiligen Römischen Reichs zugetragen ... ( Hauptsacht. teils )"
"Staatsanzeiger für Württemberg, Besondere Beilage",27008924,Staatsanzeiger für Württemberg / Literarische Beilage; Staatsanzeiger für Württemberg / Litterarische Beilage; Literarische Beilage ( Sachl. Benennung auf d. Jg.-Titelbl. teils ); Litterarische Beilage ( Sachl. Benennung auf d. Jg.-Titelbl. teils )
Die Heizkostenabrechnung,09301739,
Sicherheitsreport,"23637382,23637382",Das Magazin der VBG; Mitteilungsblatt der Verwaltungs-Berufsgenossenschaft ( Zusatz anfangs )
"Bundesanzeiger, Jahresabschlüsse und Hinterlegungsbekanntmachungen","09346333,09346333",Bundesanzeiger / Jahresabschlüsse; Jahresabschlüsse ( Sachl. Benennung der Mikrofiche-Ausg. )
"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Kanonistische Abteilung",23044896,Zeitschrift der Savigny-Stiftung für Rechtsgeschichte / Kanonistische Abteilung
Neukircher Spatz,"16104579,16104579",
Recht,"21919658,21919658",Die Zeitschrift für europäisches Lebensmittelrecht
Mittelfränkischer Schulanzeiger,16183835,MFrSchAnz; amtliche Bekanntmachungen der Regierung von Mittelfranken ( 2. Zusatz anfangs )
Rechtspfleger-Jahrbuch,0080018X,RpflJB ( Nebent. später )
Steuerberater intern,"1430872X,1430872X",Geldkonditionen; Hypothekenkonditionen; Praxis aktuell
"Jahrbuch für Gesetzgebung, Verwaltung und Rechtspflege des Deutschen Reiches",1619649X,"Jahrbuch für Gesetzgebung, Verwaltung und Rechtspflege; Jahrbuch für Gesetzgebung, Verwaltung und Rechtspflege des Deutschen Reichs ( Hauptsacht. teils )"
Amtsblatt Landeshauptstadt München,16166604,Amtsblatt der Landeshauptstadt München ( Hauptsacht. anfangs )
"Bundesanzeiger / Bundesrepublik Deutschland, [Beilage]","0431509X,03447731",Bundesanzeiger / Beilage; Bundesanzeiger / Beilagen; Beilagen ( Sachl. Benennung d. Mikrofiche-Ausg. )
UmsatzsteuerRundschau,"03418669,03418669","UR; Umsatzsteuer-Rundschau ( Haupttitel 1.1952-66.2017,21/22 ); Rundschau für Umsatzsteuer ( Nebent. ab 13.1964 teils ); UStR ( Nebent. bis 1983 )"
