title,issn,alternativeTitle
Veröffentlichungen zum Verfahrensrecht,"07227574,07227574",VVerfR
Betriebs-Berater,"03407918,03407918","Betriebsberater; BB; Betriebs-Berater / Sonderveröffentlichung; Domainrecht aktuell; Betriebs-Berater / Jubiläumsmagazin; Betriebs-Berater / Beilage; Organisations-Berater; Banken & Versicherungen; Banken und Versicherungen; Leasing-Berater; Pflicht zur Führung von Karteien, Listen, Verzeichnissen und Büchern im Betrieb; Leasing; Rechtsprechung zum Firmenrecht; Die zweckmäßige Kapitalanlage; Rechtsprechung zum Recht der Außenwerbung; Prozeßkostenrisiko-Tabelle; Die Weihnachtsgratifikation; Auslandsreisen; Zeitschrift für Recht, Steuern und Wirtschaft; Prozeßkostenrisiko-Tabelle; Recht, Wirtschaft, Steuern; Zeitschrift für Recht, Steuern und Wirtschaft; Der Betriebs-Berater ( Hauptsacht. anfangs )"
Bereinigte amtliche Sammlung der Schulvorschriften des Landes Nordrhein-Westfalen,09389288,BASS; Bereinigte amtliche Sammlung der Schulvorschriften ( Nebent. ab 12.1997/98 )
"Bundesgesetzblatt, Teil II","03411109,03411109",Bundesgesetzblatt / 2; Anlageband
"Bundessteuerblatt, Teil 2: Entscheidungen des Bundesfinanzhofs",01755366,Bundessteuerblatt / 2; Bundessteuerblatt / A; Bundessteuerblatt / D
Rheinische Notar-Zeitschrift,"18674186,18674186",RNotZ
Schweizerische Juristen-Zeitung,00367613,SJZ; Publikationsorgan des Schweizerischen Anwaltsverbandes; RSJ
Juristische Rundschau,"00226920,00226920","Von A bis Z aus Gesetzgebung, Rechtsprechung und Rechtswissenschaft; Von A - Z aus Gesetzgebung, Rechtsprechung und Rechtswissenschaft; Mitteilungen aus der Berliner Justiz und Rechtsanwaltschaft; JR"
Strafverteidiger,"07201605,07201605",StV
Steuer-Telex,01707620,StX
Zeitschrift für ausländisches öffentliches Recht und Völkerrecht,"00442348,00442348",ZaöRV; HJIL
Monatsschrift für Kriminalpsychologie und Strafrechtsreform,"29426049,29426049",MSchKrim
Kritische Justiz,"00234834,00234834",KJ; Vierteljahresschrift ( Zusatz bis 36.2003 )
"Wertpapier-Mitteilungen, Teil 4: Zeitschrift für Wirtschafts- und Bankrecht",03426971,"Wertpapier-Mitteilungen / 4; Zeitschrift für Wirtschafts- und Bankrecht; WM / 4; WM; Wertpapier- und Bankfragen, Rechtsprechung ( Sachl. Benennung bis 23.1969 ); T. 4B ( Sachl. Benennung 23.1969 - 14.1960 ); Wirtschafts-, Wertpapier- und Bankrecht ( 24.1970 - 30.1976 )"
Neue Zeitschrift für Wehrrecht,00283525,NZWehrr
Wirtschaft und Wettbewerb,00436151,"Competition and trade regulation; Concurrence et marché; WuW; Zeitschrift für deutsches und europäisches Wettbewerbsrecht; Zeitschrift für Kartellrecht, Wettbewerbsrecht und Marktorganisation; Competition and trade regulation ( Engl. Parallelsacht. bis 47.1997 ); Concurrence et marché ( Franz. Parallelsacht. bis 47.1997 ); Journal of German and European competition law ( Nebent. 48.1998-Jahrgang 65, 2015, Heft 12 (Dezember 2015) ); Journal du droit allemand et européen de la concurrence ( Nebent. 48.1998-Jahrgang 65, 2015, Heft 12 (Dezember 2015) )"
Europarecht,"05312485,05312485",Europarecht <Baden-Baden>; EUR
Recht der internationalen Wirtschaft,"03407926,03407926",RIW; Organisations-Berater; Finanz-Berater; Leasing-Berater; Versicherungs-Berater; Leasing; Versicherung; Kapitalanlage; Betriebs-Berater international; Leasing- und Finanz-Berater; Banken & Versicherungen; Banken und Versicherungen; Computer-Praxis & -Recht; EU-Erweiterungs-Report; RIW-Beihefter
"Bundesgesetzblatt, Teil I","03411095,03411095",Bundesgesetzblatt / 1
Goltdammer's Archiv für Strafrecht,"00171956,00171956",GA; Archiv für Strafrecht; GA
Familie und Recht,"09372180,09372180","FuR; Zeitschrift für die anwaltliche und gerichtliche Praxis ( 2. Zusatz bis 17.2006,3 )"
Wettbewerb in Recht und Praxis,14353059,WRP
Die Stiftung,"18644309,18644309",Magazin Die Stiftung; Magazin ( 1. Zusatz anfangs ); Zeitschrift für das Stiftungswesen und Private Wealth ( 2. Zusatz anfangs ); Magazin für das Stiftungswesen und Private Wealth ( Zusatz anfangs )
Amtsblatt der Stadt Köln,01722522,
Der Kriminalist,"07223501,07223501",
Deutsche Landesreferate zum ... Internationalen Kongreß für Rechtsvergleichung,"03407411,03407411",
Zeitschrift für Binnenschiffahrt und Wasserstraßen,01757091,Sammlung der Rechtsprechung zum Schiffahrtsrecht und sonstige Veröffentlichungen über Rechtsfragen
Deutsche Rechts-Zeitschrift,03406911,Rechtsprechungs-Rundschau
Zeitschrift für ausländisches und internationales Privatrecht,"0932321X,0932321X",Rabels Zeitschrift; Rabels Zeitschrift für ausländisches und internationales Privatrecht ( Nebent. teils )
Schmittiana,09459960,
Anwaltsgebühren spezial,"0942590X,0942590X",AGS; Anwaltsgebühren-spezial; Anwaltsgebühren spezial mit RVGreport; Zeitschrift für das gesamte Gebührenrecht und Anwaltsmanagement
"Verwaltungsführung, Organisation, Personal","01707140,09469028","VOP; Verwaltungsführung, Organisation, Personalwesen. 1982-1993 ( Auf d. Jahresinhaltsverz. )"
BEK-Brücke,00058238,Brücke
Statistische Mitteilungen über das höhere Unterrichtswesen in Preußen,26999919,Statistische Mitteilungen über das höhere Unterrichtswesen in Königreich Preußen; Statistische Mittheilungen über das höhere Unterrichtswesen im Königreich Preußen ( Hauptsacht. bis 18.1901 ); Statistische Mitteilungen über das höhere Unterrichtswesen im Königreich Preußen ( Hauptsacht. 19.1902 - 33.1916 )
Öffentliche Verwaltung und Datenverarbeitung,03429407,ÖVD
Zeitschrift für Rechtssoziologie,"01740202,01740202",
Industriemeister-Nachrichten,"00199303,00199303",
Österreichische Zeitschrift für Wirtschaftsrecht,03794407,ÖZW
Amtsblatt der Europäischen Gemeinschaften,03785009,
"Jahresfachkatalog ... Recht, Sozialwissenschaften, Wirtschaft, Steuern",00752886,"Recht, Sozialwissenschaften, Wirtschaft, Steuern; Jahresfachkatalog Recht, Wirtschaft, Steuern; Recht, Wirtschaft, Steuern; Jahresfachkatalog"
Entscheidungen in Kirchensachen seit 1946,03408760,Sonderband Europäische Entscheidungen; KirchE; Entscheidungen in Kirchensachen
Zeitschrift für Genozidforschung,"14388332,14388332",
GmbHRundschau,"23661062,23661062",GmbHR; GmbH-Rundschau ( Haupttitel früher )
"Fachserie / Statistisches Bundesamt, Wiesbaden, 14. Reihe 9. 5: Finanzen und Steuern. Verbrauchsteuern. Schaumweinsteuer","09438181,09438181",
Blatt für Sortenwesen,"03004627,03004627",Amtsblatt des Bundessortenamtes; Sonderheft Sortenregister
Bundeszollblatt,04315545,
Asylmagazin,"16137450,16137450","ZDWF-Informationsdienst ( Hauptsacht. 1996,1 )"
Schriften zum internationalen und zum öffentlichen Recht,0943173X,
Jahresbericht ... / Amnesty International,"01737759,01737759",
Zeitschrift für die gesamte Strafrechtswissenschaft,"1612703X,1612703X",ZStW; Auslandsrundschau
Lernfeld Betrieb,09304460,"LB ( Nebent. 1992 - 1993,2 ); Bildung + Betrieb ( Hauptsacht. 1.1986,Apr. )"
WIK,1615455X,"Zeitschrift für Wirtschaft, Kriminalität und Sicherheit ( Zusatz anfangs )"
Gochsheimer Nachrichten,"18658296,18658296",Die Gemeindezeitung
Genealogisches Staats-Handbuch,27007316,Genealogisches und Staats-Handbuch ( Hauptsacht. 65.1827 )
Renopraxis,"16117727,16117727",
Sammlung der neuesten Staats-Angelegenheiten vornemlich des Deutschen Reichs,"23671254,23671254",
Rheinisch-westfälischer Jäger,01710796,MesseSpezial; Mitteilungsblatt des Landesjagdverbandes Nordrhein-Westfalen ( Zusatz anfangs )
Archiv für Theorie und Praxis des allgemeinen deutschen Handels- und Wechselrechts,"16122828,16122828",
BKK-Service,"2192788X,07222351,0940788X,2192788X,07222351,0940788X,14361612",Service ( Hauptsacht. teils ); BKK-Betriebs-Service ( Nebent. ab 1997 ); Zeitschrift f. d. Praxis d. Personalsachbearbeitung ( Zusatz anfangs )
Strafverteidiger,"23662166,23662166",
"Berater-Magazin, Office","21943583,21943583","Betriebs-Berater / Office-Management; Software_372office für Recht und Steuern; BB-Reihe Office-Management; Datenbanken, Software, digitale Angebote aus den Bereichen Recht, Wirtschaft und Steuern für alle betrieblichen Berater; Datenbanken, Software und digitale Angebote aus den Bereichen Recht, Wirtschaft und Steuern; Betriebs-Berater. Office-Management ( Haupttitel 2012 )"
Hitzig's Annalen der deutschen und ausländischen Criminal-Rechtspflege,"23668342,23668342",Julius Eduard Hitzig's Annalen der deutschen und ausländischen Criminalrechtspflege; Annalen der deutschen und ausländischen Criminalrechtsprechung; Annalen der deutschen und ausländischen Criminal-Rechtspflege; Annalen der deutschen und ausländischen Criminalrechtsprechung ( Zitiert. nach Kirchner )
Journal für Rechtspolitik,"1613754X,1613754X",JRP
"Sozialwissenschaftlicher Fachinformationsdienst, Organisations- und Verwaltungsforschung","09386041,09386041",SoFid
Zeitschrift für Völkerrecht,09314415,"Zeitschrift für Völkerrecht und Bundesstaatsrecht ( Hauptsacht. bis 7.1913,1 )"
"Forensische psychiatrie, psychologie, kriminologie",18627080,Forens psychiatr psychol kriminol
Zeitschrift für Arbeitsrecht,"23662042,23662042",ZFA
Der Europäische Gemeindetag,03441970,
Datenschutz und Datensicherheit,"16140702,16140702",DuD
Kritische Zeitschrift für Rechtswissenschaft,16119002,
"Johann Friedrich Juglers Beyträge zur juristischen Biographie oder genauere litterarische und critische Nachrichten von dem Leben und den Schriften verstorbener Rechtsgelehrten auch Staatsmänner, welche sich in Europa berühmt gemacht haben","23666595,23666595","Beyträge zur juristischen Biographie oder genauere litterarische und critische Nachrichten von dem Leben und den Schriften verstorbener Rechtsgelehrten auch Staatsmänner, welche sich in Europa berühmt gemacht haben; Juglers Beyträge zur juristischen Biographie oder genauere litterarische und critische Nachrichten von dem Leben und den Schriften verstorbener Rechtsgelehrten auch Staatsmänner, welche sich in Europa berühmt gemacht haben; Beiträge zur juristischen Biographie oder genauere litterarische und critische Nachrichten von dem Leben und den Schriften verstorbener Rechtsgelehrten auch Staatsmänner, welche sich in Europa berühmt gemacht haben"
Verwaltungsarchiv,"23661992,23661992","VerwArch; Zeitschrift für Verwaltungslehre, Verwaltungsrecht und Verwaltungspolitik; VerwArch"
RVG professionell,"16136470,16136470",RVG prof; Informationsdienst für die Rechtsanwaltskanzlei
Zeitschrift für Schadensrecht,01730568,ZfS; Versicherungsrecht
Teilzeitkräfte & Aushilfen aktuell,"16115112,16115112",Teilzeitkräfte und Aushilfen aktuell
Archiv für Theorie und Praxis des allgemeinen deutschen Handelsrechts,"16122828,16122828",Archiv für deutsches Handelsrecht ( Nebent. anfangs )
Kurzprotokoll der ... Sitzung des Vermittlungsausschusses des Deutschen Bundestages und des Bundesrates,0176750X,"Kurzprotokoll der ... Sitzung des Vermittlungsausschusses des Deutschen Bundestages und des Deutschen Bundesrates ( Hauptsacht. Wahlper. 1.1949/53,Sitz.1-15 ); Protokolle des Vermittlungsausschusses des Deutschen Bundestages und des Bundesrates ( Hauptsacht. d. Mikrofiche-Ausg. ); Kurzprotokolle ( Nebent. d. Mikrofiche-Ausg. )"
Forderungs-Praktiker,"18696295,18696295",Forderungspraktiker; WIKI
Baurechtliche Blätter,16137612,bbl
Wohnrechtliche Blätter,16137647,WOBL
Doping,"23669659,21921253,23669659,21921253",Zeitschrift für Sportrecht und Medizin
"Einmalzahlungen, Sonderzuwendungen",2192788X,
Steueranwaltsmagazin,16155610,
Gefahrgut aktuell,"14342170,14342170",
Forensia,0724844X,
Archiv für wichtige Anordnungen in den k.k. Oesterreichischen Staaten über Kriminal- u. Civiljustiz für merkwürdige Rechtsfälle mit den Entscheidungen der Gerichtshöfe,"25201832,25201832",
"Enunciata et Consilia Juris Unterschiedener Rechts-Gelehrten, Berühmter Facultaeten und Schöppenstühle, Uber besondere und im allgemeinen Leben vorfallende merckwürdige und dubiöse Casus","25099078,25099078","Enunciata et consilia juris berühmter Rechtsgelehrten, Facultäten und Schöppenstühle; Enunciata et consilia juris berühmter Rechtsgelehrten, Facultäten und Schöppenstühle ( Zitiert. nach Kirchner )"
"Der Senckenbergischen Sammlung von ungedruckt- und raren Schriften, zu Erläuterung des Staats-, des gemeinen bürgerlichen und Kirchen-Rechts, wie auch der Geschichten von Teutschlandt","23654465,23654465","Sammlung von ungedruckt- und raren Schriften, zu Erläuterung des Staats-, des gemeinen bürgerlichen und Kirchen-Rechts, wie auch der Geschichten von Teutschlandt; Senckenbergische Sammlung von ungedruckt- und raren Schriften, zu Erläuterung derer Rechte u. Geschichten von Teutschland; Sammlung von ungedruckt- und raren Schriften, zu Erläuterung des Staats-, des gemeinen bürgerlichen und Kirchen-Rechts, wie auch der Geschichten von Teutschlandt ( Hauptsacht. teils )"
Bayerische Archivinventare,04087046,BAI; Inventar der Akten des Reichskammergerichts / Bayerische Archivinventare
Examenswichtige Klausurprobleme,03413268,
Christian Jacob von Zwierleins ... kaiserlichen Kammergerichts Procurators Nebenstunden,"21930708,21930708",Nebenstunden; Juristische Nebenstunden
Die durchlauchtigen Höfe in Europa nach ihrer gegenwärtigen Beschaffenheit und Verfassung entworffen,"25099094,25099094",
Sammlung Kommentare zu landwirtschaftlichen Gesetzen,"04871057,04871057",Kommentare zu landwirtschaftlichen Gesetzen
"Nachricht von einigen auserlesensten, gröstentheils raren, alten und neuen juristischen Büchern","21935645,21935645","Nachricht von einigen auserlesensten, größtenteils raren, alten und neuen juristischen Büchern; Nachricht von einigen auserlesenen, größthenteils raren, alten und neuen juristischen Büchern ( Zitiert. lt. Kirchner )"
Vermischte Beiträge zur neuesten deutschen Reichs- und Staats-Praxi,"25097687,25097687",
"Quaestiones Sabbathinae, oder curiose juristische Fragen, auf rare casus eingerichtet","25103288,25103288",Quaestionum Sabbathinarum Decisiones Singulares
Beyträge zum neuesten französischen Staatsrechte bey Gelegenheit der allgemeinen Reichsversammlung,"2367153X,2367153X",Beyträge zum neuesten französischen Staatsrecht
Juristisch-historische Electa,"25095269,25095269",
"Gründliche Auszüge aus alten und neuen juridischen Disputationibus, welche auf denen hohen Schulen in Deutschland gehalten worden","23665300,23665300",
"Sammlung juristisch-, philosophisch- und critischer Abhandlungen","23653671,23653671","Sammlung juristischer, philosophischer und kritischer Abhandlungen; Sammlung juristisch-, philosophisch- und kritischer Abhandlungen; Sammlung juristischer, philosophischer und kritischer Abhandlungen ( Zitiert. nach Kirchner )"
Historischer Schauplatz vornehmer und berühmter Staats- und Rechts-Gelehrten,"23654597,23654597",
Steuerfit,"16130251,16130251",
Arbeitsrecht kompakt,"14391449,14391449",Urteilsblitzdienst für Arbeitgeber; Blitzdienst für Arbeitgeber ( Zusatz anfangs )
Archiv der Kirchenrechtswissenschaft,"2365127X,2365127X",
Toxichem Krimtech,"21903441,21903441","Toxichem und Krimtech; Toxichem-Krimtech; Toxichem + Krimtech ( Hauptsacht. bis 76.2009,2 )"
Rente & Co,"25684396,25684396",Rente und Co; Ein Sonderheft von Plus-Magazin
Schriftenreihe des Österreichischen Wasserwirtschaftsverbandes,03711943,ÖWWV-Schriftenreihe
RVGreport,"1614760X,1614760X",RVG-Report
"Deutsche Polizei, Ausgabe Hamburg","01706438,01706438",Deutsche Polizei / Ausgabe Hamburg; Organ der Gewerkschaft der Polizei
Recht und Politik im Gesundheitswesen,"09483209,09483209",RPG
Steuern sparen für Selbstständige,"18609260,18609260",
Rabels Zeitschrift für ausländisches und internationales Privatrecht,"18687059,18687059",Rabels Zeitschrift; Zeitschrift für ausländisches und internationales Privatrecht; RabelsZ
Medilex,18612903,
Immobilien & bewerten,"18666582,18666582",Immobilien und bewerten
Bereinigte Sammlung der Verwaltungsvorschriften des Bayerischen Staatsministeriums für Arbeit und Sozialordnung,"0720924X,0720924X",Fortführungsnachweis zur Bereinigten Sammlung der Verwaltungsvorschriften des Bayerischen Staatsministeriums für Arbeit und Sozialordnung ( Vorlageform d. Hauptsacht. )
Rothenburger Beiträge,"1439393X,1439393X",Schriftenreihe der Fachhochschule für Polizei Sachsen; Polizeiwissenschaftliche Schriftenreihe der Hochschule der Sächsischen Polizei
"JURAT, Neuro","14364727,14364727",
"Berater-Magazin, Termine : Veranstaltungen, Seminare, Tagungen und Kongresse","21991065,21965021,21991065,21965021","Berater-Magazin / Seminare; Seminare ( Sachl. Benennung bis 2014,1 ); Veranstaltungen ( 1. Zusatz bis 2014,1 ); Seminare, Tagungen und Kongresse für alle betrieblichen Berater ( 2. Zusatz bis 2014,1 )"
Strafrecht der Wirtschaft,"23672684,23672684",
Gesichertes Leben,"00169153,00169153",Zeitschr. der LVA ( Zusatz teils )
Beiträge zur Kenntniß des Rechts der freien Hansestadt Bremen,"18660169,18660169",
"Berater-Magazin, Bücher : aktuelle Neuerscheinungen und Buchempfehlungen : Recht, Wirtschaft, Steuern","21965048,21965048","aktuelle Neuerscheinungen aus den Bereichen Recht, Wirtschaft und Steuern"
Top In-Form,14303868,Topinform; Magazin top-In-Form
Archiv für Rechts- und Sozialphilosophie,"23635614,23635614",ARSP
Archiv des öffentlichen Rechts,18686796,"Archiv für öffentliches Recht ( Haupttitel 1, 1-26. Band )"
Studien zum Wirtschaftsstrafrecht,09389512,
Praxishandbuch Berufskraftfahrer,"25122282,25122282",
Die Rentenversicherung,"03405753,03405753",RV; Zeitschrift über d. Angestellten u. Arbeiterrentenversicherung ( Zusatz anfangs )
Die kleine Betriebsrats-Bibliothek,09361731,
Hagener juristische Beiträge,"25110411,25110411",
"Wetzlarische Nebenstunden, worinnen auserlesene beym höchstpreislichen Cammergericht entschiedene Rechts-Händel zur Erweiter- und Erläuterung der teutschen in Gerichten üblichen Rechts-Gelehrsamkeit angewendet werden","23665807,23665807","Johann Ulrich Freyherrn von Cramers Wetzlarische Nebenstunden, worinnen auserlesene beym höchstpreißlichen Cammergericht entschiedene Rechts-Händel zur Erweiter- und Erläuterung der teutschen in Gerichten üblichen Rechtsgelehrsamkeit angewendet werden; Von Cramers Wetzlarische Nebenstunden, worinnen auserlesene beym höchstpreißlichen Cammergericht entschiedene Rechts-Händel zur Erweiter- und Erläuterung der teutschen in Gerichten üblichen Rechtsgelehrsamkeit angewendet werden; Joh. Ulr. Freyherrn von Cramers Wetzlarische Nebenstunden, worinnen auserlesene beym höchstpreißlichen Cammergericht entschiedene Rechts-Händel zur Erweiter- und Erläuterung der teutschen in Gerichten üblichen Rechtsgelehrsamkeit angewendet werden; Wetzlarische Nebenstunden, worinnen auserlesene beym höchstpreislichen Cammergericht entschiedene Rechts-Händel zur Erweiter- und Erläuterung der deutschen in Gerichten üblichen Rechts-Gelehrsamkeit angewendet werden ( Hauptsacht. früher )"
Schriften zum Unternehmens- und Wirtschaftsrecht,23640863,
Kompass,"14377594,14377594","Mitteilungsblatt der Landespolizeischule Berlin ( Zusatz bis 36.2003,4 )"
"Schulverwaltung, Baden-Württemberg","09423974,09423974",Zeitschrift für Schulentwicklung und Schulmanagement; Zeitschrift für Schulleitung und Schulaufsicht; SchVw BW; Schulverwaltung ( Hauptsacht. bis 15.2006 ); Ausgabe Baden-Württemberg ( Sachl. Benennung bis 15.2006 ); Zeitschrift für Schulleitung und Schulaufsicht ( Zusatz anfangs )
Architekten- und Ingenieurhandbuch,07247699,
Materialien zum ausländischen und internationalen Privatrecht,"05430194,05430194",
Sammlung Güterlisten,"25129627,25129627",
Forschung & Entwicklung aktuell,"21980977,21980977",Forschung und Entwicklung aktuell; F und E aktuell; F & E aktuell
Arbeitsschutzpraxis für Betriebsräte aktuell,"18635199,18635199","BWRmed!a Mitbestimmung; BWRmed!a Mitbestimmung ( Nebent. ab 2012,Sept. )"
ADAJUR,"18656935,18656935",ADAC-CD-ROM ADAJUR
Abhandlungen zum deutschen und europäischen Handels- und Wirtschaftsrecht,07249810,AHW
Jahrbücher des Kaiserlichen Reichskammergerichts,"23665203,23665203",
Annalen des teutschen Reichs,"23653531,23653531",
Badische Rechtspraxis,01748092,Badische Rechtspraxis und Annalen der großh.-badischen Gerichte; Badische Rechtspraxis und Annalen der großh. badischen Gerichte ( Auf d. Jg.-Titelbl. 2=66.1900 - 20=84.1918 ); Badische Rechtspraxis und Annalen der badischen Gerichte ( 21=85.1919 - 38=102.1936 )
Der Bernische Notar,16611659,Mitteilungen d. Verbandes Bernischer Notare ( Zusatz anfangs )
"Anwalt, Anwältin im Sozialrecht",14383365,ASR
Bericht des Europäischen Amtes für Betrugsbekämpfung,17257638,
Fundamenta iuris,"26296845,26296845",
"Polizeireport, Frankfurt am Main, Main-Taunus-Kreis : für den Großraum Frankfurt und Main-Taunus-Kreis","01739549,01739549","Polizeireport / Frankfurt am Main, Main-Taunus-Kreis"
Freiburger rechts- und staatswissenschaftliche Abhandlungen,04296524,
Schriftenreihe des Bundes für Lebensmittelrecht und Lebensmittelkunde,"05217563,09381015",
Tarifverträge für das Baugewerbe ...,"16189108,16189108",
Urteilsdienst für den Personalrat,"18699340,18699340",ihr Rechts- und Urteilsbrief für die erfolgreiche Personalvertretung
Studien zum internationalen Wirtschaftsrecht und Atomenergierecht,05855934,
Duševné vlastníctvo,13352881,La propriété intellectuelle
"VdK-Zeitung, Berlin-Brandenburg","18653820,18653820",VdK-Zeitung / Berlin-Brandenburg; VdK-Zeitung / Ausgabe Berlin-Brandenburg; VdK Zeitung ( Hauptsacht. teils ); Ausgabe Berlin-Brandenburg ( Sachl. Benennung früher )
Bibliothek der neuesten juristischen Litteratur,"23654643,23654643",
"Praxis aktuell, Das AOK-Magazin für Unternehmen in Bayern","14379147,14379147",PA
URP,14209209,Umweltrecht in der Praxis; Droit de l'environnement dans la pratique; Diritto ambientale nella prassi
Verkehrsrechtsreport,"18623980,18623980",VRR
Polizei + Verkehrssicherheit,09388605,Polizei und Verkehrssicherheit
Jahrbuch Baurecht ...,"14354470,14354470",
"Neue Samlung von Staats-Schriften zur Erläuterung der neuesten Welt- und teutschen Reichs-Geschichten, nach Ableben Kayser Carl des Siebenden","23669284,23669284","Neue Sammlung von Staats-Schriften zur Erläuterung der neuesten Welt- und deutschen Reichs-Geschichten, nach Ableben Kaiser Karl des Siebenten; Neue Sammlung von Staats-Schriften zur Erläuterung der neuesten Welt- und deutschen Reichs-Geschichten, nach Ableben Kaiser Carl des Siebenden ( Auf d. Bd.-Titelbl. bis 2.1745/46 )"
Wochentlicher Welt- und Staats-Spiegel,"25099132,25099132","Collectio nova actorum publicorum I. R. G. oder Sammlung derer im Jahr 1750 in Deutschland zum Vorschein gekommenen Deductionen und andern in des Jus Publicum I. R. G. einschlagenden Schrifften wie solche bisher unter dem Tittel des wöchentlichen Welt- und Staats-Spiegel zum Vorschein gekommen ( Jg.-Titelbl. 4.1750, 1.u.2. Halbj. )"
Tag der Juristischen Fakultät,14380439,
Steuern & Recht,"09373632,09373632",Steuern und Recht
Bilanz aktuell,"21994390,21994390","Zeitschrift für Steuerberater, Buchhalter und Bilanzbuchhalter sowie alle bilanzierenden Unternehmen"
Ausländische Aktiengesetze,00670669,
Betrifft Justiz,"01792776,01792776",
"GdS-Magazin / Gewerkschaft der Sozialversicherung, GdS",1437983X,
Kanonistische Studien und Texte,09290680,KST ( Nebent. teils )
"Fachserie / Statistisches Bundesamt, Wiesbaden, 10. Reihe 1: Rechtspflege. Ausgewählte Zahlen für die Rechtspflege",07224834,
"Konsulats- und Mustervorschriften, Nachtrag","0173718X,0173718X",K und M
Gerichtliche Kriminalstatistik,02590417,Beiträge zur österreichischen Statistik / Gerichtliche Kriminalstatistik; für das Jahr ... ( Zusatz bis 2002(2004) u. 2004(2005) )
Tabellen zur Aufbewahrung der wichtigsten statistischen Veränderungen in den vornehmsten europäischen Staaten,"26981769,26981769",
Berliner Recht für Schule und Lehrer,09341439,BRSchL
Praxis Verkehrsrecht,16170938,PVR
Sächsischer Baumarkt,08633657,
Arbeitsgesetze,09427880,
Thüringer Jäger,"18665020,18665020",Offizielles Mitteilungsblatt des Landesjagdverbandes Thüringen e. V.; Mit den amtlichen Mitteilungen der Thüringer Jagdbehörden
Wirtschaftsrecht und Wirtschaftsverfassung,"07214316,07214316",Droit et ordre économiques ( Nebent. teils ); Economic law and economic order ( Nebent. teils ); Schriftenreihe ( Zusatz anfangs )
Entscheidungen zu alkoholbedingten Verkehrsstraftaten und Ordnungswidrigkeiten,"09357963,09357963","mit StPO, GVG, JGG, BZRG, StrEG sowie OWIG ( Zusatz anfangs )"
Urteilsdienst für den Betriebsrat,"16142179,16142179",der neue Urteils- und Informationsbrief für die erfolgreiche und rechtssichere Betriebsratsarbeit Deutschland
Der Jäger in Baden-Württemberg,"07201702,07201702",Mitteilungsblatt des Landesjagdverbandes Baden-Württemberg e.V.
CD-Sicherheits-Management,0947871X,Sicherheits-Management; Criminal-digest-Sicherheits-Management ( Nebent. teils )
KrankenhausRecht,"14342618,14342618",KHR; Zeitschrift für das gesamte Krankenhausrecht
Bundessteuerblatt,09475052,
Untersuchungen zur Ordnungstheorie und Ordnungspolitik,"1434338X,1434338X",UOrd
Entscheidungen des Bundesoberseeamtes und der Seeämter der Bundesrepublik Deutschland,03437388,"Die wichtigsten Entscheidungen des Bundesoberseeamtes und der Seeämter der Bundesrepublik Deutschland ( Hauptsacht. 1.1950/51 - 13.1970/72 ); Entscheidungen des Bundesoberseeamtes und der Seeämter ( Hauptsacht. 1990,1-10 )"
"Praxishandbuch GmbH-Geschäftsführer, Das Magazin : erfolgreich und rechtssicher handeln",16197992,"GmbH-Geschäftsführer; Haftung, Verträge, Steuervorteile, Personal, Finanzierung"
Safety-Plus,16616723,
Berliner Kommentar Insolvenzrecht,21988994,Berliner Kommentar zum Insolvenzrecht ( Haupttitel früher )
Faktor Arbeitsschutz,"14337800,21903077,14337800,21903077",
Archiv für Rechts- und Wirtschaftsphilosophie,"23635606,23635606","mit besonderer Berücksichtigung der Gesetzgebungsfragen; Archiv für Rechtsphilosophie ( Haupttitel 26. Band, Heft 4 (Juli 1933) )"
"Monumenta Germaniae historica, 5: Leges. Constitvtiones et acta pvblica imperatorvm et regvm",03437582,Constitutiones et acta publica imperatorum et regum; Legum sectio 4
Informationsdienst öffentliches Baurecht,1616170X,"BRS-Info; BRS; Öffentliches Baurecht; Informationsdienst öffentliche Baurechtssammlung ( Hauptsacht. [1.]2000,1 ); BRS ( 1. Zusatz bis 2010 ); in Ergänzung zur Baurechtssammlung (Thiel, Gelzer, Upmeier) ( 2. Zusatz bis 2010 )"
Archiv für die civilistische Praxis,"18687113,18687113",AcP
Tabellen zur Aufbewahrung der wichtigsten statistischen Veränderungen in den vornehmsten europäischen Staaten,"26981742,26981742",
"Teutsche Staatskanzlei, Deductions- und Urkundensammlung : ein Beitrag zur Teutschen Staatskanzlei","21930694,21930694",Deutsche Staatskanzlei; Deduktions- und Urkundensammlung
Regensburger Beiträge zum Staats- und Verwaltungsrecht,"1860319X,1860319X",
Geheim,"09308571,09308571",
Info 110,14307669,Info eins eins null; Info hundertzehn
"Deutsches Beamten-Jahrbuch, Bundesausgabe","00704423,00704423",Vorsprung durch Wissen; Deutscher Verwaltungskalender
MenschenRechtsMagazin,"29411149,29411149",Menschen-Rechts-Magazin; MRM
Planen und Bauen,"07227000,07227000","Gesetze, Verordnungen, Richtlinien und Normen für Architekten; Sammlung Planen und Bauen ( Haupttitel früher )"
SF-Medien,16124871,SF-Medien-Zeitschrift; SF
Zeitschrift für Rechtssoziologie,"23660392,23660392",The German journal of law and society
Personal abc,0724360X,Das Personal-abc
"Zuwendungsrecht, Zuwendungspraxis",09482350,
Journal for European environmental & planning law,18760104,
Reno,07214588,
"Sächsisches Archiv für bürgerliches Recht und Prozeß, Ergänzungsband","18673201,18673201",Ergänzungsheft ( Bez. d. UR 1892 )
