name,abbr,year_start,year_end
"Statistische Berichte Niedersachsen, D. III. 1: Insolvenzverfahren",,2005,2005.0
Nachschlagewerk des Bundesarbeitsgerichts,,1954,
Münchener Beiträge zur Papyrusforschung und antiken Rechtsgeschichte,,1922,
"Juris-PraxisReport, Privates Baurecht",,2006,
Rechtsgeschichte,Rg,2002,
"Amtsblatt der Europäischen Gemeinschaften, Monatsregister L C: alphabetisch und methodologisch",,1968,2003.0
"Amtsblatt der Europäischen Gemeinschaften, Monatsregister L C: alphabetisch und methodologisch",,2024,
Der Beamte im Ruhestand,,1966,1991.0
Der Beamte im Ruhestand,,2024,
"Polizeiliche Kriminalstatistik des Landes Baden-Württemberg, [Jahresausgabe]",,1954,1984.0
Gemeinde-Nachrichten,,1972,
Steuern im ökonomischen Kontext der Stadt Zürich,,2004,
"Bundesanzeiger, Zentralhandelsregister",,2001,2006.0
"Bundesanzeiger, Zentralhandelsregister",,2024,
Mitteilungsblatt der Arbeitsgemeinschaft Versicherungsrecht im DAV,,2000,2001.0
"Statistische Berichte / Statistisches Landesamt des Freistaates Sachsen, B. VI. 8: Bildung, Kultur, Rechtspflege. Strafvollzug im Freistaat Sachsen : Bestand und Bewegung in den Justizvollzugsanstalten",,2002,2004.0
"Statistische Berichte / Bayerisches Landesamt für Statistik und Datenverarbeitung, L. IV. 3: Das Einkommen der natürlichen Personen in Bayern : Ergebnisse der Lohn- und Einkommensteuerstatistik",,2005,2005.0
"Juris-PraxisReport, Familien- und Erbrecht",,2004,
Referatedienst Kriminologie,,1991,2000.0
Stadtpunkte,,2021,
REthinking: law,,2018,2023.0
REthinking: law,,2024,
CEDELEX-DVD,,2001,2002.0
Schweizerische Zeitschrift für Strafrecht,,1896,1980.0
"Jahresbericht / Harmonisierungsamt für den Binnenmarkt (Marken, Muster und Modelle)",,2002,2007.0
Polizeiliche Kriminalstatistik,PKS,2000,
"Statistische Berichte / Hessisches Statistisches Landesamt, C. IV. 9. 2: Agrarstrukturerhebung. Betriebe und Bodennutzung",,1975,
Telekommunikations- & Medienrecht,TKMR,2002,2004.0
Dr. J. A. Seuffert's Blätter für Rechtsanwendung,,1859,1913.0
Dr. J. A. Seuffert's Blätter für Rechtsanwendung,,1859,1905.0
Dr. J. A. Seuffert's Blätter für Rechtsanwendung,,1906,1912.0
Gemeindenachrichten / Gemeinde Kolitzheim,,1978,2018.0
Entscheidungen der Oberverwaltungsgerichte für das Land Nordrhein-Westfalen in Münster und für das Land Niedersachsen in Lüneburg,,1951,2015.0
Entscheidungen der Oberverwaltungsgerichte für das Land Nordrhein-Westfalen in Münster und für das Land Niedersachsen in Lüneburg,,2024,
Entscheidungen der Oberverwaltungsgerichte für das Land Nordrhein-Westfalen in Münster und für das Land Niedersachsen in Lüneburg,,1951,
"Juris-PraxisReport, Steuerrecht",,2004,
"Juris-PraxisReport, Steuerrecht",,2024,
"Bibliographie / Hochschule für Recht und Verwaltung, Informationszentrum, Teil 3, Völkerrecht und politische Wissenschaften",,1990,1990.0
"Die Bundesrepublik Deutschland, Mecklenburg-Vorpommern : Verzeichnis der Behörden und Gemeinden mit Aufgabenbeschreibungen und Adressen",,1995,2003.0
Justizverwaltungsblatt,,1933,1972.0
Arbeitsschutz,,1950,1978.0
Arbeitsschutz,,2024,
"Statistische Berichte Baden-Württemberg, A. II. 2: Bevölkerung und Erwerbstätigkeit. Gerichtliche Ehelösungen in Baden-Württemberg",,1993,2018.0
"Statistische Berichte Baden-Württemberg, A. II. 2: Bevölkerung und Erwerbstätigkeit. Gerichtliche Ehelösungen in Baden-Württemberg",,1994,1996.0
DAJV-Newsletter,,1986,2013.0
DAJV-Newsletter,,2005,2005.0
DAJV-Newsletter,,2006,
"Statistische Berichte / Bayerisches Landesamt für Statistik und Datenverarbeitung, L. IV. 4: Das Einkommen der juristischen Personen in Bayern ... : Ergebnisse der Körperschaftssteuerstatistik",,2005,2005.0
Europäische Beiträge zu Kriminalität und Prävention,,1997,1998.0
Europäische Beiträge zu Kriminalität und Prävention,,2024,
RTkom,,1999,2001.0
"Sächsisches Rechts- und Verwaltungsblatt, Sonderdruck",,1999,
"Die Bundesrepublik Deutschland, Thüringen : Verzeichnis der Behörden und Gemeinden mit Aufgabenbeschreibungen und Adressen des Freistaates Thüringen",,1996,2002.0
Wissenschaftsrecht,WissR,1994,
Wissenschaftsrecht,WissR,1996,1996.0
ÖStZ aktuell,,2004,2009.0
"Neue Wirtschaftsbriefe, Direkt : Infodienst und Datenbank für Steuer- und Wirtschaftsrecht",,2005,2008.0
Schweizerisches Jahrbuch für Kirchenrecht,,1997,
Schweizerisches Jahrbuch für Kirchenrecht,,1996,2017.0
GmbH-Steuerberater,GmbH-StB,2014,
Würzburger rechtswissenschaftliche Schriften,,1994,
Würzburger rechtswissenschaftliche Schriften,,1994,2018.0
"NWB, Direkt",,2009,
"NWB, Direkt",,2009,
Der Umsatzsteuer-Berater,UStB,2000,2011.0
ZOLEX Update,,2020,
NVersZ,,1998,2002.0
DIHK-Bildungsbericht ...,,2008,2011.0
MC,,2001,2002.0
Gewerbesteuer-Handausgabe ...,,1981,2020.0
Gewerbesteuer-Handausgabe ...,,2024,
Gewerbesteuer-Handausgabe ...,,2024,
"Schutz der finanziellen Interessen der Gemeinschaften, Betrugsbekämpfung, Jahresbericht",,2000,2006.0
Der Zoll-Profi!,,2007,
Der Zoll-Profi!,,2007,
Stadt und Gemeinde,,1990,1997.0
Stadt und Gemeinde,,2024,
"Neue juristische Wochenschrift, NJW-Entscheidungsdienst : NJWE / hrsg. von der NJW-Redaktion. Miet- und Wohnungsrecht : NJWE-MietR ; neue Entscheidungen aus den Bereichen Wohnraummiete, Geschäftsraummiete, Wohnungseigentumsrecht, öffentliches Wohnungsrecht, Steuerrecht",NJWE,1996,1997.0
"Geschäftsbericht / Stadt Duisburg, der Oberbürgermeister, Amt für Statistik, Stadtforschung und Europaangelegenheiten",,1992,2007.0
"Schulden des Landes, der Gemeinden, Samtgemeinden und Landkreise",,1976,1992.0
Ludwigsau-Bote,,1972,1990.0
Ludwigsau-Bote,,1989,
Ludwigsau-Bote,,1990,
Der Großenhainer,,1998,1999.0
"Gemeinsames Ministerialblatt des Auswärtigen Amtes, des Bundesministers des Innern, des Bundesministers für Vertriebene, Flüchtlinge und Kriegsgeschädigte, des Bundesministers für Wohnungsbau, des Bundesministers für Gesamtdeutsche Fragen, des Bundesministers für Angelegenheiten des Bundesrates, des Bundesministers für Familienfragen, der Bundesminister für Besondere Aufgaben, Beilage",,1970,
Sammlung des bereinigten Gesetz- und Verordnungsblattes für das Land Nordrhein-Westfalen,SGV.NRW,1962,1999.0
... Tätigkeitsbericht zum Datenschutz,,2018,
"Taschenbuch für Außenprüfer, Steuerberater und Steuerbevollmächtigte",,1980,1987.0
Kriminalbiologische Gegenwartsfragen,,1953,1966.0
Verwaltungsbericht und Etat der Stadt Frankfurt am Main,,1962,1964.0
"Gewindebohrer, Gewindeschneideisen und Gewindefurcher",,2009,
Tauchaer Stadtanzeiger / Stadtverwaltung Taucha,,1990,
Rechtskräftig abgeurteilte Personen in Berlin,,1983,1994.0
"Statistische Berichte Baden-Württemberg, K. II. 1: Öffentliche Sozialleistungen. Soziale Pflege- und gesetzliche Krankenversicherung in Baden-Württemberg : Stand ... sowie im ... Vierteljahr ..",,1992,2018.0
"Statistische Berichte Baden-Württemberg, K. II. 1: Öffentliche Sozialleistungen. Soziale Pflege- und gesetzliche Krankenversicherung in Baden-Württemberg : Stand ... sowie im ... Vierteljahr ..",,1994,1996.0
"Zeitschrift für Vertragsgestaltung, Schuld- und Haftungsrecht",ZGS,2009,2011.0
"Zeitschrift für Vertragsgestaltung, Schuld- und Haftungsrecht",ZGS,2024,
Beiträge zur Statistik in Einzeldarstellungen,,1949,1962.0
"Die Bundesrepublik Deutschland, Teilausgabe Bund",,1966,1994.0
Statistik der Rechtspflege,,1958,2000.0
Statistik der Rechtspflege,,2024,
Statistik der Rechtspflege,,2024,
Stadtlauringer Amtsbote,,1978,
"Die Bundesrepublik Deutschland, Sachsen-Anhalt : Verzeichnis der Behörden und Gemeinden mit Aufgabenbeschreibungen und Adressen",,1995,2003.0
Post aus Poppenhausen,,1971,
Post aus Poppenhausen,,2024,
Post aus Poppenhausen,,2024,
Post aus Poppenhausen,,2024,
TOA-Infodienst,,1999,2013.0
Juristische Zeitung für das Königreich Hannover,,1826,1861.0
Juristische Zeitung für das Königreich Hannover,,2024,
Materialien zum ausländischen und internationalen Privatrecht,,2007,
Materialien zum ausländischen und internationalen Privatrecht,,2024,
Amtsblatt der Europäischen Union,,1952,
"Schleswig-holsteinische Anzeigen, Teil A",SchlHA,2002,
"Schleswig-holsteinische Anzeigen, Teil A",SchlHA,2024,
"Schleswig-holsteinische Anzeigen, Teil A",SchlHA,2024,
"Schleswig-holsteinische Anzeigen, Teil A",SchlHA,2024,
"Schleswig-holsteinische Anzeigen, Teil A",SchlHA,2024,
"Schleswig-holsteinische Anzeigen, Teil A",SchlHA,2024,
"Fachserie / Statistisches Bundesamt, Wiesbaden, A. Reihe 9. 4: Bevölkerung und Kultur. Rechtspflege. Bewährungshilfe",,1965,1976.0
"Statistische Berichte Niedersachsen, L. II. 2: Kommunale Finanzen. Ergebnisse der vierteljährlichen Kassenstatistik",,1979,2002.0
Abgeurteilte und Verurteilte in Bayern,,1989,2000.0
Adressen der Stadt- und Gemeindeverwaltungen im Freistaat Sachsen,,1991,1992.0
Vermögensteuer sowie Einheitswerte der gewerblichen Betriebe in Berlin (West),,1966,1980.0
"Stand der Gesetzgebung des Bundes, Abschlußband ... Wahlperiode : verkündete Gesetze und nicht Gesetz gewordene Entwürfe",,1987,2006.0
Beraterbrief Kanzleimanagement,BBKM,2005,2008.0
Schriftenreihe zur Modernisierung der Landesverwaltung in Brandenburg,,2011,
Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs und des Bayerischen Verfassungsgerichtshofs,,1880,
Sammlung von Entscheidungen des Bayerischen Verwaltungsgerichtshofs und des Bayerischen Verfassungsgerichtshofs,,2024,
Hinsehen,,2020,
Zentralblatt der Bauverwaltung,,1881,1931.0
Zentralblatt der Bauverwaltung,,2024,
Zentralblatt der Bauverwaltung,,2024,
Zentralblatt der Bauverwaltung,,2024,
Sammlung der Rechtsentscheide in Wohnraummietsachen,RES,1982,2002.0
Wettbewerb in Recht und Praxis,WRP,1998,2011.0
Europäische Steuerzeitung,EStZ,1962,1972.0
Praktiker-Handbuch ... allgemeines Steuer- und Verfahrensrecht,,1988,
Designblatt,,2014,
Kirchliches Amtsblatt der Evangelischen Kirche in Berlin-Brandenburg,,1945,2003.0
Jugendkriminalität und Jugendgefährdung in Rheinland-Pfalz,,1979,1990.0
InsbürO,,2004,
InsbürO,,2024,
InsbürO,,2024,
InsbürO,,2024,
Anwalt,,2000,2004.0
Schwebheimer Amtsbote,,1974,2015.0
Schwebheimer Amtsbote,,2024,
Rechtsgeschichtliche Forschungen,,2023,
German yearbook of international law,GYIL,1974,
Finanzplanung von Berlin,,1968,1988.0
Die Freiheitsglocke,,1950,
Die Freiheitsglocke,,2024,
Die Freiheitsglocke,,2024,
Die Freiheitsglocke,,1998,
Verkehrsrechts-Sammlung,VRS,1949,
Streit,,1983,
Streit,,2024,
Streit,,2024,
Patienten-Rechte,,2002,2008.0
Europäische Rechtsprechung,ER,1965,1978.0
DStR-Entscheidungsdienst,DStRE,1997,
Deutsche Gerichtsvollzieher-Zeitung,DGVZ,1995,
Deutsche Gerichtsvollzieher-Zeitung,DGVZ,2024,
Thüringer Verwaltungsblätter,ThürVBl,1992,
Thüringer Verwaltungsblätter,ThürVBl,2024,
Zeitschrift für Bergrecht,ZfB,1860,
Zeitschrift für Bergrecht,ZfB,2024,
Zeitschrift für Bergrecht,ZfB,2024,
Zeitschrift für Bergrecht,ZfB,2024,
Zeitschrift für Bergrecht,ZfB,2024,
Zeitschrift für Bergrecht,ZfB,2024,
Zeitschrift für Bergrecht,ZfB,2024,
"Juris-PraxisReport, Umweltrecht",,2013,
EWeRK,,2008,
EWeRK,,2011,2011.0
"Juris-PraxisReport, Versicherungsrecht",,2007,
Jahresbericht des Rates über den Zugang zu Dokumenten,,2003,2013.0
Jahresbericht des Rates über den Zugang zu Dokumenten,,2003,2004.0
Jahresbericht des Rates über den Zugang zu Dokumenten,,2005,2011.0
Ergänzungsleistungen,,2003,
"Amtliches Mitteilungsblatt des Amtes Am Stettiner Haff mit der Stadt Eggesin und dem Ortsteil Hoppenwalde, den Gemeinden Ahlbeck, Altwarp, Grambin, Hintersee, Leopoldshagen, Liepgarten, Lübs, Luckow mit dem Ortsteil Rieth, Meiersberg, Mönkebude, Torgelow-Holl, Vogelsang-Warsin",,2005,
"Die Bundesrepublik Deutschland, Teilausgabe Neue Bundesländer : Land Brandenburg, Land Mecklenburg- Vorpommern, Land Freistaat Sachsen, Land Sachsen-Anhalt, Land Thüringen",,1991,1991.0
Arbeitsrechtliches Informations-System,,1993,1996.0
Verwaltungs-Bericht des Kreisausschusses des Rheingaukreises,,1928,1960.0
Die Krankenversicherung,KrV,2004,2011.0
Jahresbericht über die Durchführung und Durchsetzung des Umweltrechts der Gemeinschaft,,1999,2003.0
Die Veranlagung zur Vermögensteuer,,1984,1991.0
Kranken- und Pflegeversicherung,KrV,2012,
Allgemeiner Tätigkeitsbericht / Europäische Beobachtungsstelle für Drogen und Drogensucht,,1996,2001.0
Bericht über die Verwaltung der Königlichen Universitäts-Bibliothek zu Kiel,,1876,1916.0
"Amtsblatt des Bundesministers für Post und Telekommunikation, des Direktoriums der Deutschen Bundespost und der Deutschen Bundespost Postdienst",,1989,1991.0
Recht der Medizin,RdM,1994,
Bibliographie des deutschen Schrifttums (BRD) zum Völkerrecht,,1972,
Forschungsbericht / Hochschule für Verwaltungswissenschaften Speyer u. Forschungsinstitut für Öffentliche Verwaltung bei der Hochschule für Verwaltungswissenschaften,,1977,1995.0
Informationsdienst Bauleitung,,2023,
Beiträge zum ausländischen öffentlichen Recht und Völkerrecht,,1927,
Beiträge zum ausländischen öffentlichen Recht und Völkerrecht,,1931,1932.0
Beiträge zum ausländischen öffentlichen Recht und Völkerrecht,,1932,1973.0
Beiträge zum ausländischen öffentlichen Recht und Völkerrecht,,1974,
Beiträge zum ausländischen öffentlichen Recht und Völkerrecht,,1927,1930.0
Magazin für Rechtswissenschaft und Gesetzgebung,,1820,1844.0
StrafRechtsReport,StRR,2007,2015.0
StrafRechtsReport,StRR,2010,
StrafRechtsReport,StRR,2024,
