issn,Gold,Wikipedia,Internet,ZDB,abbr
00037761,,,,103,
09316396,,,,1352,
04588460,,,,1382,
27495655,,,,1656,
23671351,,,,1214,
07238886,,,275,683,MedR
09399062,,,348,1635,PdR
07228910,,75,579,,ZFW
00298565,,,95,314,DÖD
07247648,,,452,,WF
09488790,,,347,,FGPrax
09357351,,,,1424,
09467971,,,315,,NdsVBl
0003892X,4,95,17,,AVR
09482482,,,,1064,
25103229,,,,1470,
08672571,,,,400,
09303855,,,457,,wbl
04481429,,,,672,
22238743,,,,1590,
00225940,,,,614,
01780999,,,,994,
27010929,,,,1530,
08655774,,,,264,
00299820,,,,295,
09373632,,,,943,
23654465,,,,865,
23661062,22,,,820,
25099094,,,,869,
09417915,48,97,308,,NZS
03783073,,,,620,
23668377,,,,1473,
21926441,,,,1084,
00139513,,,,595,
23661178,,,88,,IPRB
18690947,,,243,,Kfz-Anwalt
26283646,,,,465,
03785009,,,,816,
03408787,,,,75,
21990271,,,504,,ZDAR
00038911,25,22,16,1491,AöR
21926409,,,,1334,
25098446,,,,1384,
27495744,,,,1143,
23668288,,,,1119,
09377239,,,,435,
01743163,,,162,,FLF
03408329,,126,541,680,ZLW
07201141,,,,245,
00226939,21,4,241,1683,JuS
09357068,,,,1563,
23662638,,,554,,ZPol
03444007,,,,442,
00719927,,,,447,
14388375,,,350,205,PIStB
03234045,26,,555,638,ZRG
00121363,34,20,117,328,DVBl
18660215,,,121,,BG
03408612,,47,110,507,DRiZ
26999846,,,,733,
00075957,,,,3,
23635606,,,,971,
02553678,,,,1206,
10289690,,,153,1124,ELR
14350122,,,351,642,PStR
03403289,,,,147,
00037788,,,,48,
2190815X,,,566,,StoffR
26981742,,,,975,
27494845,,,543,262,zfmr
21935998,,,,1585,
10219978,,,,1158,
01738747,,,,80,
09314415,,,,842,
01708600,,,,1063,
14377594,,,,910,
01722522,,,,801,
16164865,,,,1159,
09438106,,,,1255,
21920141,,,580,,ZfWG
25098551,,,,1456,
23669292,,,,1258,
1866962X,,,,1062,
21903441,,,,882,
04296524,,,,927,
01782096,,,131,449,StW
18648479,,,516,,ZESAR
01706497,,,,407,
29408229,,,135,,DivRuW
00160911,,,,62,
21958947,,,194,,HFR
18649904,,,56,,CCLR
03432149,,,,1556,
25103350,,,,1637,
25696629,,,,1454,
1865519X,,,381,,RT
09454381,,,,175,
18687121,4,,17,,AVR
26992299,,,191,,HRN
16193431,,,,58,
23121920,,,,581,
09462953,,,,1330,
07222521,,,,1466,
16147936,,,565,,ZSteu
09349677,,,552,732,ZfPR
16155610,,,410,860,SAM
21906882,,,,1579,
23668350,,,,996,
26624427,,,442,,VersR
20781059,,,519,,ZfRV
03406881,,,,101,
18612385,,,,415,
00226912,,,239,506,JBl
03438309,,,,132,
00174882,,142,67,750,Grundeigentum
05086205,,,453,,WRP
03408604,,42,107,635,DNotZ
23669365,,,,1478,
09322345,,,185,592,GmbH-Steuerpraxis
16175395,,,208,,IHR
09410503,,,,1293,
1869800X,,,502,,ZStV
09375538,,,,1096,
00670669,,,,945,
04402138,,,,1678,
09476067,,,,1186,
03728021,,,,637,
01721720,,,246,,Kösdi
1434596X,,24,290,,MMR
25099132,,,,941,
03408779,,,,46,
27004570,,,,1267,
04087046,,,,866,
1439801X,,,,154,
14339099,,,122,,BKK
03440567,,,,1230,
00443360,,,553,,ZfP
03430766,,,,1554,
16115112,,,,852,
1439393X,,,,893,
16119533,,,,256,
14380676,,,,460,
07214588,,,,988,
03414388,,,434,689,VD
04337050,,,,494,
0342328X,5,136,471,453,"ZfA, ZFA"
21935769,,,577,,ZVertriebsR
21991723,,,581,,ZWeR
04402154,,,,613,
23651369,,,,1132,
09469958,,,,1268,
18698727,,,,1578,
16603362,,,3,1509,AJP
05662745,,,490,,Kreditwesen
09362800,,113,477,632,ZBB
21945802,,,,1649,
04050479,,,,577,
21935602,,,,1291,
03402479,3,65,571,470,ZGR
18606423,,,,263,
16107896,,,,990,
01720678,,,,139,
09454195,,,,168,
21904952,,,204,,IILR
03400255,,,,711,
05312485,2,,149,794,EuR
03401758,,36,551,,ZParl
18645720,,,,715,
18656935,,,,917,
21935777,,130,313,,NZWiSt
27030776,,,513,,ZfDR
14383373,,120,101,1058,VerkA
0932058X,,,,279,
0940788X,,,,1490,
14344181,,,394,86,SchuR
23661992,,,444,849,"VerwA, VerwArch"
21908230,,,56,,CCLR
