*nodes
Id;Label;Type
349;Lisa Pfaffinger;author
350;Michael Pawlik;author
351;Manfred Baldus;author
352;Moritz Vormbaum;author
353;Markus Ludwigs;author
354;Armin Steinbach;author
355;Stephan Hobe;author
356;Tim W. Dornis;author
357;Diethelm Klesczewski;author
358;Maximilian Wallerath;author
359;Pascale Cancik;author
360;Clemens Latzel;author
361;Mathias Habersack;author
362;Jennifer Koch;author
363;Miguel Teixeira de Sousa;author
364;Johanna Hey;author
365;Gerhard Wagner;author
366;Holger Fleischer;author
367;Volker Römermann;author
368;Betsy Byrd;author
369;Isabelle Ley;author
370;Jürgen Basedow;author
371;Stephan Rixen;author
372;Karl-Ludwig Kunz;author
373;Jochen Hoffmann;author
374;Frank Stolmann;author
375;Christoph Moes;author
376;Katja Gelinsky;author
377;Rainer Tietzsch;author
378;Winfried Hassemer;author
379;Tonio Walter;author
380;Ulrich Karpen;author
381;Dieter Gosewinkel;author
382;Dennis Reschke;author
383;Frank Hoffmeister;author
384;Steffen Detterbeck;author
385;Thomas Hinz;author
386;Samy G. Sharaf;author
387;Liane Wörner;author
388;Georg Steinberg;author
389;Armin von Bogdandy;author
390;Oliver Remien;author
391;Arnold Lehmann-Richter;author
392;Dominik Brodowski;author
393;Ulrich Haltern;author
394;Ralph Christensen;author
395;Felix Hammer;author
396;Jörg Philipp Terhechte;author
397;Kai Cornelius;author
398;Wolfgang Ernst;author
399;Bettina Weißer;author
400;Michael Heese;author
401;Johanna Wolff;author
402;Meike Peters;author
403;Christoph Ohler;author
404;Benjamin G. Engst;author
405;Stephan Vielmeier;author
406;Jan Henrik Klement;author
407;Oliver Lepsius;author
408;Sebastian Sternberg;author
409;Filippo Ranieri;author
410;Franz Reimer;author
411;Anuscheh Farahat;author
412;Charlotte Schmitt-Leonardy;author
413;Greta Göbel;author
414;Lutz Eidam;author
415;Jörg Fritzsche;author
416;Johannes Rottmann;author
417;Frank Meyer;author
418;Catherine Haguenau-Moizard;author
419;Michael Gutfried;author
420;Walter Bayer;author
421;M. Roßbach;author
