"source_id","issn_l","display_name","publisher","works_count","cited_by_count","country_code","law_and_de","law_and_de_article_share","citations_per_paper","in_goldstandard","remarks"
S4210186192,"1019-5394",Zeitschrift für kritik - recht - gesellschaft,Verlag Osterreich GmbH,799,91,AT,264,0.33,0.11,false,
S4210218497,"2625-1868",Zeitschrift für das gesamte Verfahrensrecht – GVRZ,Q2516652,185,18,DE,109,0.59,0.10,false,
S4210185043,"0944-128X",Recht der Energiewirtschaft,De Gruyter,344,34,DE,137,0.40,0.10,false,
S4306516541,"0022-6939",JuS. Juristische Schulung,C.H. Beck,81,8,DE,45,0.56,0.10,true,
S4210168162,"1424-7410",Jusletter,Q1285359,2589,247,CH,787,0.30,0.10,false,
S4210205159,"2196-9817",PinG Privacy in Germany,Erich Schmidt Verlag,728,75,DE,360,0.49,0.10,false,
S4210233727,"2199-5052",KUR - Kunst und Recht,Schleuen Verlag,134,13,DE,25,0.19,0.10,false,
S4306535878,,ZG : Zeitschrift für Gesetzgebung,,377,36,,254,0.67,0.10,false,
S4210197671,"1438-3292",Finanz-Rundschau Ertragsteuerrecht,Q2516652,2655,255,DE,683,0.26,0.10,false,
S4306517198,,Jus: Juristische Schulung,,1487,145,,1030,0.69,0.10,false,
S4210201536,"2364-7213",Zeitschrift für das Privatrecht der Europäischen Union,Q2516652,572,59,DE,240,0.42,0.10,false,
S4306535586,"1612-4243",EurUP,Q1822344,505,46,,200,0.40,0.09,false,
S4210180125,"2193-5653",Kranken- und Pflegeversicherung,Erich Schmidt Verlag,1542,132,DE,192,0.12,0.09,false,
S4306511592,,Goltdammer's Archiv für Strafrecht,,1316,114,,616,0.47,0.09,false,
S4210228297,"0170-5067",Jugend Medien Schutz-Report,Nomos,1348,117,DE,319,0.24,0.09,false,
S4210224004,"0044-3816",Zeitschrift Interne Revision/ZIR digital,Erich Schmidt Verlag,729,67,DE,148,0.20,0.09,false,
S4210182041,"0174-559X",Transportrecht,De Gruyter,350,30,DE,111,0.32,0.09,false,
S4210201413,"1610-1197",GesundheitsRecht,Q2516652,3929,367,DE,627,0.16,0.09,false,
S4306503023,,Argumente zur Marktwirtschaft und Politik,,148,13,,23,0.16,0.09,false,
S4306521627,"2197-9197",Ordnung der Wissenschaft,,161,14,,67,0.42,0.09,false,
S4306506458,,cms-journal,,345,32,,34,0.10,0.09,false,
S4210214652,"1613-7655",Zeitschrift für Hochschulrecht Hochschulmanagement und Hochschulpolitik zfhr,Verlag Osterreich GmbH,765,58,AT,359,0.47,0.08,false,
S4306514366,,IPRax: Praxis des Internationalen Privat- und Verfahrensrechts,,950,79,,538,0.57,0.08,false,
S4306500725,,Administrative Law Journal,,225,19,,46,0.20,0.08,false,
S4306520742,,NEUE ZEITSCHRIFT FUER VERWALTUNGSRECHT,,106,8,,67,0.63,0.08,false,
S4210189457,"1436-9265",MarkenR,De Gruyter,339,26,DE,63,0.19,0.08,false,
S4306534561,,"Vorträge, Reden und Berichte aus dem Europa-Institut",,142,11,,43,0.30,0.08,false,
S4210209691,"0947-8094",Kirche und Recht,Berliner Wissenschafts-Verlag,169,14,DE,29,0.17,0.08,false,
S4306536236,,ZIP :  Zeitschrift für Wirtschaftsrecht,,1300,110,,769,0.59,0.08,false,
S4210169399,"0003-9160",ARCHIV FÜR KATHOLISCHES KIRCHENRECHT,Brill,9096,722,NL,1523,0.17,0.08,false,
S4306535573,,Zeitschrift für Chinesisches Recht,,428,31,,215,0.50,0.07,false,
S4306553101,,民事訴訟雑誌,,389,27,,56,0.14,0.07,false,
S4210171810,"0036-7834",Schweizerische Zeitschrift für Geschichte,Swiss historical society,185,13,CH,19,0.10,0.07,false,
S4210185480,"1439-1589",Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,De Gruyter,5494,394,DE,1956,0.36,0.07,false,
S4306506743,,"Computer Und Recht: Forum für die Praxis des Rechts der Datenverargeitung, Information und Automation",,2332,157,,1664,0.71,0.07,false,
S4306513854,,Internationales Steuerrecht,,98,7,,27,0.28,0.07,false,
S4306529219,"1422-0709",Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht,,102,7,,69,0.68,0.07,false,
S4306523076,,Prawo,,168,11,,17,0.10,0.07,false,
S4306535579,,Zeitschrift fur die Gesamte Strafrechtswissenschaft,,235,17,,96,0.41,0.07,false,
S4306535642,"1613-3919",Zeitschrift für Stoffrecht,Q1822344,485,35,,130,0.27,0.07,false,
S4306536235,,ZIP :  Zeitschrift für wirtschaftsrecht,,303,22,,131,0.43,0.07,false,
S4210204621,"1861-0765","Krisen-, Sanierungs- und Insolvenzberatung/KSI digital",Erich Schmidt Verlag,1086,61,DE,194,0.18,0.06,false,
S4210167899,"0002-3752",Die Aktiengesellschaft,Q2516652,4809,299,DE,961,0.20,0.06,true,
S4210186373,"0937-2180",Familie und Recht,De Gruyter,556,32,DE,120,0.22,0.06,false,
S4210168118,"1015-1516",Zeitschrift für das gesamte Bank- und Börsenwesen,University of Zurich,1932,118,AT,557,0.29,0.06,false,
S4210193381,"0022-6912",Juristische Blätter,Springer Nature,3593,200,AT,2126,0.59,0.06,false,
S4306536288,,ZStrR :  Schweizerische zeitschrift für strafrecht,,313,20,,114,0.36,0.06,false,
S4210199422,"0943-1462",Die Sozialgerichtsbarkeit,Erich Schmidt Verlag,2079,115,DE,426,0.20,0.06,false,
S4210198336,"0342-328X",Zeitschrift für Arbeitsrecht,De Gruyter,335,18,DE,100,0.30,0.05,true,
S4306507767,"0722-8287",Der Nahverkehr,,688,34,,76,0.11,0.05,false,
S4210176952,"2522-6932",ELSA Austria Law Review,Verlag Osterreich GmbH,66,3,AT,32,0.48,0.05,false,
S4210177197,"2366-200X",Zeitschrift für das gesamte Insolvenzrecht,Carl Heymanns Verlag,1625,74,DE,620,0.38,0.05,false,
S4210181017,"1611-1958",ZESAR. Zeitschrift für europäisches Sozial- und Arbeitsrecht/Zeitschrift für europäisches Sozial- und Arbeitsrecht/ZESARdigital,Erich Schmidt Verlag,1491,76,DE,580,0.39,0.05,false,
S4306534853,,Wistra: Zeitschrift für Wirtschafts- und Steuerstrafrecht,,444,22,,252,0.57,0.05,false,
S4306521267,,NZV NEUE ZEITSCHRIFT FUER VERKEHRSRECHT,,346,17,,197,0.57,0.05,false,
S2764603812,"0439-5905",Nagoya Daigaku hosei ronshu/Hōsei ronshū,Nagoya University,157,8,JP,16,0.10,0.05,false,
S4210167952,"0340-4536",Verkehr und Technik/V + T. Verkehr und Technik/V + T digital,Erich Schmidt Verlag,1947,69,DE,200,0.10,0.04,false,
S4210202933,"2567-4765",FinanzRundschau,Q2516652,2190,82,DE,471,0.22,0.04,false,
S4210189916,"2194-5829",EnergieRecht,Erich Schmidt Verlag,755,30,DE,267,0.35,0.04,false,
S4210218103,"1661-2981",Richterzeitung,Weblaw,626,27,CH,241,0.38,0.04,false,
S4210222021,"1434-4602",Fachanwalt Arbeitsrecht,De Gruyter,875,35,DE,406,0.46,0.04,false,
S4306507846,"0012-1231",DAR. Deutsches Autorecht,,474,18,DE,245,0.52,0.04,false,
S4210239633,"2194-539X",Internationale SteuerRundschau,Q2516652,898,35,DE,184,0.20,0.04,false,
S4210171504,"2199-7330",Sicher ist sicher,Erich Schmidt Verlag,2603,114,DE,372,0.14,0.04,false,
S4306534022,,UVP-REPORT,,299,13,,36,0.12,0.04,false,
S4210182518,"2415-6868",Journal für Medizin- und Gesundheitsrecht,NWV Verlag GmbH,373,14,AT,60,0.16,0.04,false,
S4306535575,"2190-8117",AbfallR,Q1822344,524,21,,243,0.46,0.04,false,
S4306506943,,Constitutional Law,,570,20,,103,0.18,0.04,false,
S4210169240,"2193-3308",BPUVZ,Erich Schmidt Verlag,357,11,DE,36,0.10,0.03,false,
S4210221023,"1226-5004",The Korean Association of Civil Law,The Korean Association of Civil Law,208,7,KR,21,0.10,0.03,false,
S4306534852,,Wistra: zeitschrift für wirtschafts- und steuerstrafrecht,,203,6,,105,0.52,0.03,false,
S4306521266,,NZV - NEUE ZEITSCHRIFT FUER VERKEHRSRECHT,,157,5,,78,0.50,0.03,false,
S4306535545,,Zeitschrift fuer Verkehrsrecht,,534,14,,261,0.49,0.03,false,
S4306511567,"0016-3570",GmbH-Rundschau,,1224,33,,440,0.36,0.03,true,
S4210233890,"2366-2247",Vergaberecht,De Gruyter,261,6,DE,84,0.32,0.02,false,
S4306535576,,"Zeitschrift für Deutsches und Europäisches Wasser-, Abwasser- und Bodenschutzrecht",,124,2,,31,0.25,0.02,false,
S4306532308,,The Journal of Comparative Private Law,,651,11,,82,0.13,0.02,false,
S4306532397,"1229-3962",THE JOURNAL OF PROPERTY LAW,The Association For Korean Law Of Property,570,11,,67,0.12,0.02,false,
S4306520925,,NomoK@non,,155,3,,22,0.14,0.02,false,
S4306515973,,Journal of Police & Law,,239,5,,30,0.13,0.02,false,
S4306533396,,TUE TECHNISCHE UEBERWACHUNG,,174,3,,19,0.11,0.02,false,
S4306529201,,"SCHRIFTENREIHE DER DEUTSCHEN VERKEHRSWISSENSCHAFTLICHEN GESELLSCHAFT E.V., REIHE B: SEMINAR",,363,7,,57,0.16,0.02,false,
S4306507572,"1028-4656",Das Recht der Arbeit,,256,6,,103,0.40,0.02,true,
S4210216878,"0944-7490",ReiseRechts aktuell,Q2516652,4701,110,DE,1284,0.27,0.02,false,
S4306535614,,zeitschrift für kritik &#124; recht &#124; gesellschaft,,43,1,,10,0.23,0.02,false,
S4210184728,"0340-7497",Zeitschrift für Miet- und Raumrecht,De Gruyter,344,6,DE,67,0.19,0.02,false,
S4306517211,"2567-2754",JuWissBlog,,630,13,,265,0.42,0.02,false,
S4210169614,"0340-1812",Monatsschrift für Deutsches Recht,Q2516652,11123,202,DE,3810,0.34,0.02,true,
